Date,Registered_rentals,Casual_rentals,Total_rentals
2011-05-12,4169,695,4864
2011-05-13,3413,692,4105
2011-05-14,2507,902,3409
2011-05-15,2971,1582,4553
2011-05-16,3185,773,3958
2011-05-17,3445,678,4123
2011-05-18,3319,536,3855
2011-05-19,3840,735,4575
2011-05-20,4008,909,4917
2011-05-21,3547,2258,5805
2011-05-22,3084,1576,4660
2011-05-23,3438,836,4274
2011-05-24,3833,659,4492
2011-05-25,4238,740,4978
2011-05-26,3919,758,4677
2011-05-27,3808,871,4679
2011-05-28,2757,2001,4758
2011-05-29,2433,2355,4788
2011-05-30,2549,1549,4098
2011-05-31,3309,673,3982
2011-06-01,3461,513,3974
2011-06-02,4232,736,4968
2011-06-03,4414,898,5312
2011-06-04,3473,1869,5342
2011-06-05,3221,1685,4906
2011-06-06,3875,673,4548
2011-06-07,4070,763,4833
2011-06-08,3725,676,4401
2011-06-09,3352,563,3915
2011-06-10,3771,815,4586
2011-06-11,3237,1729,4966
2011-06-12,2993,1467,4460
2011-06-13,4157,863,5020
2011-06-14,4164,727,4891
2011-06-15,4411,769,5180
2011-06-16,3222,545,3767
2011-06-17,3981,863,4844
2011-06-18,3312,1807,5119
2011-06-19,3105,1639,4744
2011-06-20,3311,699,4010
2011-06-21,4061,774,4835
2011-06-22,3846,661,4507
2011-06-23,4044,746,4790
2011-06-24,4022,969,4991
2011-06-25,3420,1782,5202
2011-06-26,3385,1920,5305
2011-06-27,3854,854,4708
2011-06-28,3916,732,4648
2011-06-29,4377,848,5225
2011-06-30,4488,1027,5515
2011-07-01,4116,1246,5362
2011-07-02,2915,2204,5119
2011-07-03,2367,2282,4649
2011-07-04,2978,3065,6043
2011-07-05,3634,1031,4665
2011-07-06,3845,784,4629
2011-07-07,3838,754,4592
2011-07-08,3348,692,4040
2011-07-09,3348,1988,5336
2011-07-10,3138,1743,4881
2011-07-11,3363,723,4086
2011-07-12,3596,662,4258
2011-07-13,3594,748,4342
2011-07-14,4196,888,5084
2011-07-15,4220,1318,5538
2011-07-16,3505,2418,5923
2011-07-17,3296,2006,5302
2011-07-18,3617,841,4458
2011-07-19,3789,752,4541
2011-07-20,3688,644,4332
2011-07-21,3152,632,3784
2011-07-22,2825,562,3387
2011-07-23,2298,987,3285
2011-07-24,2556,1050,3606
2011-07-25,3272,568,3840
2011-07-26,3840,750,4590
2011-07-27,3901,755,4656
2011-07-28,3784,606,4390
2011-07-29,3176,670,3846
2011-07-30,2916,1559,4475
2011-07-31,2778,1524,4302
2011-08-01,3537,729,4266
2011-08-02,4044,801,4845
2011-08-03,3107,467,3574
2011-08-04,3777,799,4576
2011-08-05,3843,1023,4866
2011-08-06,2773,1521,4294
2011-08-07,2487,1298,3785
2011-08-08,3480,846,4326
2011-08-09,3695,907,4602
2011-08-10,3896,884,4780
2011-08-11,3980,812,4792
2011-08-12,3854,1051,4905
2011-08-13,2646,1504,4150
2011-08-14,2482,1338,3820
2011-08-15,3563,775,4338
2011-08-16,4004,721,4725
2011-08-17,4026,668,4694
2011-08-18,3166,639,3805
2011-08-19,3356,797,4153
2011-08-20,3277,1914,5191
2011-08-21,2624,1249,3873
2011-08-22,3925,833,4758
2011-08-23,4614,1281,5895
2011-08-24,4181,949,5130
2011-08-25,3107,435,3542
2011-08-26,3893,768,4661
2011-08-27,889,226,1115
2011-08-28,2919,1415,4334
2011-08-29,3905,729,4634
2011-08-30,4429,775,5204
2011-08-31,4370,688,5058
2011-09-01,4332,783,5115
2011-09-02,3852,875,4727
2011-09-03,2549,1935,4484
2011-09-04,2419,2521,4940
2011-09-05,2115,1236,3351
2011-09-06,2506,204,2710
2011-09-07,1878,118,1996
2011-09-08,1689,153,1842
2011-09-09,3127,417,3544
2011-09-10,3595,1750,5345
2011-09-11,3413,1633,5046
2011-09-12,4023,690,4713
2011-09-13,4062,701,4763
2011-09-14,4138,647,4785
2011-09-15,3231,428,3659
2011-09-16,4018,742,4760
2011-09-17,3077,1434,4511
2011-09-18,2921,1353,4274
2011-09-19,3848,691,4539
2011-09-20,3203,438,3641
2011-09-21,3813,539,4352
2011-09-22,4240,555,4795
2011-09-23,2137,258,2395
2011-09-24,3647,1776,5423
2011-09-25,3466,1544,5010
2011-09-26,3946,684,4630
2011-09-27,3643,477,4120
2011-09-28,3427,480,3907
2011-09-29,4186,653,4839
2011-09-30,4372,830,5202
2011-10-01,1949,480,2429
2011-10-02,2302,616,2918
2011-10-03,3240,330,3570
2011-10-04,3970,486,4456
2011-10-05,4267,559,4826
2011-10-06,4126,639,4765
2011-10-07,4036,949,4985
2011-10-08,3174,2235,5409
2011-10-09,3114,2397,5511
2011-10-10,3603,1514,5117
2011-10-11,3896,667,4563
2011-10-12,2199,217,2416
2011-10-13,2623,290,2913
2011-10-14,3115,529,3644
2011-10-15,3318,1899,5217
2011-10-16,3293,1748,5041
2011-10-17,3857,713,4570
2011-10-18,4111,637,4748
2011-10-19,2170,254,2424
2011-10-20,3724,471,4195
2011-10-21,3628,676,4304
2011-10-22,2809,1499,4308
2011-10-23,2762,1619,4381
2011-10-24,3488,699,4187
2011-10-25,3992,695,4687
2011-10-26,3490,404,3894
2011-10-27,2419,240,2659
2011-10-28,3291,456,3747
2011-10-29,570,57,627
2011-10-30,2446,885,3331
2011-10-31,3307,362,3669
2011-11-01,3658,410,4068
2011-11-02,3816,370,4186
2011-11-03,3656,318,3974
2011-11-04,3576,470,4046
2011-11-05,2770,1156,3926
2011-11-06,2697,952,3649
2011-11-07,3662,373,4035
2011-11-08,3829,376,4205
2011-11-09,3804,305,4109
2011-11-10,2743,190,2933
2011-11-11,2928,440,3368
2011-11-12,2792,1275,4067
2011-11-13,2713,1004,3717
2011-11-14,3891,595,4486
2011-11-15,3746,449,4195
2011-11-16,1672,145,1817
2011-11-17,2914,139,3053
2011-11-18,3147,245,3392
2011-11-19,2720,943,3663
2011-11-20,2733,787,3520
2011-11-21,2545,220,2765
2011-11-22,1538,69,1607
2011-11-23,2454,112,2566
2011-11-24,935,560,1495
2011-11-25,1697,1095,2792
2011-11-26,1819,1249,3068
2011-11-27,2261,810,3071
2011-11-28,3614,253,3867
2011-11-29,2818,96,2914
2011-11-30,3425,188,3613
2011-12-01,3545,182,3727
2011-12-02,3672,268,3940
2011-12-03,2908,706,3614
2011-12-04,2851,634,3485
2011-12-05,3578,233,3811
2011-12-06,2468,126,2594
2011-12-07,655,50,705
2011-12-08,3172,150,3322
2011-12-09,3359,261,3620
2011-12-10,2688,502,3190
2011-12-11,2366,377,2743
2011-12-12,3167,143,3310
2011-12-13,3368,155,3523
2011-12-14,3562,178,3740
2011-12-15,3528,181,3709
2011-12-16,3399,178,3577
2011-12-17,2464,275,2739
2011-12-18,2211,220,2431
2011-12-19,3143,260,3403
2011-12-20,3534,216,3750
2011-12-21,2553,107,2660
2011-12-22,2841,227,3068
2011-12-23,2046,163,2209
2011-12-24,856,155,1011
2011-12-25,451,303,754
2011-12-26,887,430,1317
2011-12-27,1059,103,1162
2011-12-28,2047,255,2302
2011-12-29,2169,254,2423
2011-12-30,2508,491,2999
2011-12-31,1820,665,2485
2012-01-01,1608,686,2294
2012-01-02,1707,244,1951
2012-01-03,2147,89,2236
2012-01-04,2273,95,2368
2012-01-05,3132,140,3272
2012-01-06,3791,307,4098
2012-01-07,3451,1070,4521
2012-01-08,2826,599,3425
2012-01-09,2270,106,2376
2012-01-10,3425,173,3598
2012-01-11,2085,92,2177
2012-01-12,3828,269,4097
2012-01-13,3040,174,3214
2012-01-14,2160,333,2493
2012-01-15,2027,284,2311
2012-01-16,2081,217,2298
2012-01-17,2808,127,2935
2012-01-18,3267,109,3376
2012-01-19,3162,130,3292
2012-01-20,3048,115,3163
2012-01-21,1234,67,1301
2012-01-22,1781,196,1977
2012-01-23,2287,145,2432
2012-01-24,3900,439,4339
2012-01-25,3803,467,4270
2012-01-26,3831,244,4075
2012-01-27,3187,269,3456
2012-01-28,3248,775,4023
2012-01-29,2685,558,3243
2012-01-30,3498,126,3624
2012-01-31,4185,324,4509
2012-02-01,4275,304,4579
2012-02-02,3571,190,3761
2012-02-03,3841,310,4151
2012-02-04,2448,384,2832
2012-02-05,2629,318,2947
2012-02-06,3578,206,3784
2012-02-07,4176,199,4375
2012-02-08,2693,109,2802
2012-02-09,3667,163,3830
2012-02-10,3604,227,3831
2012-02-11,1977,192,2169
2012-02-12,1456,73,1529
2012-02-13,3328,94,3422
2012-02-14,3787,135,3922
2012-02-15,4028,141,4169
2012-02-16,2931,74,3005
2012-02-17,3805,349,4154
2012-02-18,2883,1435,4318
2012-02-19,2071,618,2689
2012-02-20,2627,502,3129
2012-02-21,3614,163,3777
2012-02-22,4379,394,4773
2012-02-23,4546,516,5062
2012-02-24,3241,246,3487
2012-02-25,2415,317,2732
2012-02-26,2874,515,3389
2012-02-27,4069,253,4322
2012-02-28,4134,229,4363
2012-02-29,1769,65,1834
2012-03-01,4665,325,4990
2012-03-02,2948,246,3194
2012-03-03,3110,956,4066
2012-03-04,2713,710,3423
2012-03-05,3130,203,3333
2012-03-06,3735,221,3956
2012-03-07,4484,432,4916
2012-03-08,4896,486,5382
2012-03-09,4122,447,4569
2012-03-10,3150,968,4118
2012-03-11,3253,1658,4911
2012-03-12,4460,838,5298
2012-03-13,5085,762,5847
2012-03-14,5315,997,6312
2012-03-15,5187,1005,6192
2012-03-16,3830,548,4378
2012-03-17,4681,3155,7836
2012-03-18,3685,2207,5892
2012-03-19,5171,982,6153
2012-03-20,5042,1051,6093
2012-03-21,5108,1122,6230
2012-03-22,5537,1334,6871
2012-03-23,5893,2469,8362
2012-03-24,2339,1033,3372
2012-03-25,3464,1532,4996
2012-03-26,4763,795,5558
2012-03-27,4571,531,5102
2012-03-28,5024,674,5698
2012-03-29,5299,834,6133
2012-03-30,4663,796,5459
2012-03-31,3934,2301,6235
2012-04-01,3694,2347,6041
2012-04-02,4728,1208,5936
2012-04-03,5424,1348,6772
2012-04-04,5378,1058,6436
2012-04-05,5265,1192,6457
2012-04-06,4653,1807,6460
2012-04-07,3605,3252,6857
2012-04-08,2939,2230,5169
2012-04-09,4680,905,5585
2012-04-10,5099,819,5918
2012-04-11,4380,482,4862
2012-04-12,4746,663,5409
2012-04-13,5146,1252,6398
2012-04-14,4665,2795,7460
2012-04-15,4286,2846,7132
2012-04-16,5172,1198,6370
2012-04-17,5702,989,6691
2012-04-18,4020,347,4367
2012-04-19,5719,846,6565
2012-04-20,5950,1340,7290
2012-04-21,4083,2541,6624
2012-04-22,907,120,1027
2012-04-23,3019,195,3214
2012-04-24,5115,518,5633
2012-04-25,5541,655,6196
2012-04-26,4551,475,5026
2012-04-27,5219,1014,6233
2012-04-28,3100,1120,4220
2012-04-29,4075,2229,6304
2012-04-30,4907,665,5572
2012-05-01,5087,653,5740
2012-05-02,5502,667,6169
2012-05-03,5657,764,6421
2012-05-04,5227,1069,6296
2012-05-05,4387,2496,6883
2012-05-06,4224,2135,6359
2012-05-07,5265,1008,6273
2012-05-08,4990,738,5728
2012-05-09,4097,620,4717
2012-05-10,5546,1026,6572
2012-05-11,5711,1319,7030
2012-05-12,4807,2622,7429
2012-05-13,3946,2172,6118
2012-05-14,2501,342,2843
2012-05-15,4490,625,5115
2012-05-16,6433,991,7424
2012-05-17,6142,1242,7384
2012-05-18,6118,1521,7639
2012-05-19,4884,3410,8294
2012-05-20,4425,2704,7129
2012-05-21,3729,630,4359
2012-05-22,5254,819,6073
2012-05-23,4494,766,5260
2012-05-24,5711,1059,6770
2012-05-25,5317,1417,6734
2012-05-26,3681,2855,6536
2012-05-27,3308,3283,6591
2012-05-28,3486,2557,6043
2012-05-29,4863,880,5743
2012-05-30,6110,745,6855
2012-05-31,6238,1100,7338
2012-06-01,3594,533,4127
2012-06-02,5325,2795,8120
2012-06-03,5147,2494,7641
2012-06-04,5927,1071,6998
2012-06-05,6033,968,7001
2012-06-06,6028,1027,7055
2012-06-07,6456,1038,7494
2012-06-08,6248,1488,7736
2012-06-09,4790,2708,7498
2012-06-10,4374,2224,6598
2012-06-11,5647,1017,6664
2012-06-12,4495,477,4972
2012-06-13,6248,1173,7421
2012-06-14,6183,1180,7363
2012-06-15,6102,1563,7665
2012-06-16,4739,2963,7702
2012-06-17,4344,2634,6978
2012-06-18,4446,653,5099
2012-06-19,5857,968,6825
2012-06-20,5339,872,6211
2012-06-21,5127,778,5905
2012-06-22,4859,964,5823
2012-06-23,4801,2657,7458
2012-06-24,4340,2551,6891
2012-06-25,5640,1139,6779
2012-06-26,6365,1077,7442
2012-06-27,6258,1077,7335
2012-06-28,5958,921,6879
2012-06-29,4634,829,5463
2012-06-30,4232,1455,5687
2012-07-01,4110,1421,5531
2012-07-02,5323,904,6227
2012-07-03,5608,1052,6660
2012-07-04,4841,2562,7403
2012-07-05,4836,1405,6241
2012-07-06,4841,1366,6207
2012-07-07,3392,1448,4840
2012-07-08,3469,1203,4672
2012-07-09,5571,998,6569
2012-07-10,5336,954,6290
2012-07-11,6289,975,7264
2012-07-12,6414,1032,7446
2012-07-13,5988,1511,7499
2012-07-14,4614,2355,6969
2012-07-15,4111,1920,6031
2012-07-16,5742,1088,6830
2012-07-17,5865,921,6786
2012-07-18,4914,799,5713
2012-07-19,5703,888,6591
2012-07-20,5123,747,5870
2012-07-21,3195,1264,4459
2012-07-22,4866,2544,7410
2012-07-23,5831,1135,6966
2012-07-24,6452,1140,7592
2012-07-25,6790,1383,8173
2012-07-26,5825,1036,6861
2012-07-27,5645,1259,6904
2012-07-28,4451,2234,6685
2012-07-29,4444,2153,6597
2012-07-30,6065,1040,7105
2012-07-31,6248,968,7216
2012-08-01,6506,1074,7580
2012-08-02,6278,983,7261
2012-08-03,5847,1328,7175
2012-08-04,4479,2345,6824
2012-08-05,3757,1707,5464
2012-08-06,5780,1233,7013
2012-08-07,5995,1278,7273
2012-08-08,6271,1263,7534
2012-08-09,6090,1196,7286
2012-08-10,4721,1065,5786
2012-08-11,4052,2247,6299
2012-08-12,4362,2182,6544
2012-08-13,5676,1207,6883
2012-08-14,5656,1128,6784
2012-08-15,6149,1198,7347
2012-08-16,6267,1338,7605
2012-08-17,5665,1483,7148
2012-08-18,5038,2827,7865
2012-08-19,3341,1208,4549
2012-08-20,5504,1026,6530
2012-08-21,5925,1081,7006
2012-08-22,6281,1094,7375
2012-08-23,6402,1363,7765
2012-08-24,6257,1325,7582
2012-08-25,4224,1829,6053
2012-08-26,3772,1483,5255
2012-08-27,5928,989,6917
2012-08-28,6105,935,7040
2012-08-29,6520,1177,7697
2012-08-30,6541,1172,7713
2012-08-31,5917,1433,7350
2012-09-01,3788,2352,6140
2012-09-02,3197,2613,5810
2012-09-03,4069,1965,6034
2012-09-04,5997,867,6864
2012-09-05,6280,832,7112
2012-09-06,5592,611,6203
2012-09-07,6459,1045,7504
2012-09-08,4419,1557,5976
2012-09-09,5657,2570,8227
2012-09-10,6407,1118,7525
2012-09-11,6697,1070,7767
2012-09-12,6820,1050,7870
2012-09-13,6750,1054,7804
2012-09-14,6630,1379,8009
2012-09-15,5554,3160,8714
2012-09-16,5167,2166,7333
2012-09-17,5847,1022,6869
2012-09-18,3702,371,4073
2012-09-19,6803,788,7591
2012-09-20,6781,939,7720
2012-09-21,6917,1250,8167
2012-09-22,5883,2512,8395
2012-09-23,5453,2454,7907
2012-09-24,6435,1001,7436
2012-09-25,6693,845,7538
2012-09-26,6946,787,7733
2012-09-27,6642,751,7393
2012-09-28,6370,1045,7415
2012-09-29,5966,2589,8555
2012-09-30,4874,2015,6889
2012-10-01,6015,763,6778
2012-10-02,4324,315,4639
2012-10-03,6844,728,7572
2012-10-04,6437,891,7328
2012-10-05,6640,1516,8156
2012-10-06,4934,3031,7965
2012-10-07,2729,781,3510
2012-10-08,4604,874,5478
2012-10-09,5791,601,6392
2012-10-10,6911,780,7691
2012-10-11,6736,834,7570
2012-10-12,6222,1060,7282
2012-10-13,4857,2252,7109
2012-10-14,4559,2080,6639
2012-10-15,5115,760,5875
2012-10-16,6612,922,7534
2012-10-17,6482,979,7461
2012-10-18,6501,1008,7509
2012-10-19,4671,753,5424
2012-10-20,5284,2806,8090
2012-10-21,4692,2132,6824
2012-10-22,6228,830,7058
2012-10-23,6625,841,7466
2012-10-24,6898,795,7693
2012-10-25,6484,875,7359
2012-10-26,6262,1182,7444
2012-10-27,5209,2643,7852
2012-10-28,3461,998,4459
2012-10-29,20,2,22
2012-10-30,1009,87,1096
2012-10-31,5147,419,5566
2012-11-01,5520,466,5986
2012-11-02,5229,618,5847
2012-11-03,4109,1029,5138
2012-11-04,3906,1201,5107
2012-11-05,4881,378,5259
2012-11-06,5220,466,5686
2012-11-07,4709,326,5035
2012-11-08,4975,340,5315
2012-11-09,5283,709,5992
2012-11-10,4446,2090,6536
2012-11-11,4562,2290,6852
2012-11-12,5172,1097,6269
2012-11-13,3767,327,4094
2012-11-14,5122,373,5495
2012-11-15,5125,320,5445
2012-11-16,5214,484,5698
2012-11-17,4316,1313,5629
2012-11-18,3747,922,4669
2012-11-19,5050,449,5499
2012-11-20,5100,534,5634
2012-11-21,4531,615,5146
2012-11-22,1470,955,2425
2012-11-23,2307,1603,3910
2012-11-24,1745,532,2277
2012-11-25,2115,309,2424
2012-11-26,4750,337,5087
2012-11-27,3836,123,3959
2012-11-28,5062,198,5260
2012-11-29,5080,243,5323
2012-11-30,5306,362,5668
2012-12-01,4240,951,5191
2012-12-02,3757,892,4649
2012-12-03,5679,555,6234
2012-12-04,6055,551,6606
2012-12-05,5398,331,5729
2012-12-06,5035,340,5375
2012-12-07,4659,349,5008
2012-12-08,4429,1153,5582
2012-12-09,2787,441,3228
2012-12-10,4841,329,5170
2012-12-11,5219,282,5501
2012-12-12,5009,310,5319
2012-12-13,5107,425,5532
2012-12-14,5182,429,5611
2012-12-15,4280,767,5047
2012-12-16,3248,538,3786
2012-12-17,4373,212,4585
2012-12-18,5124,433,5557
2012-12-19,4934,333,5267
2012-12-20,3814,314,4128
2012-12-21,3402,221,3623
2012-12-22,1544,205,1749
2012-12-23,1379,408,1787
2012-12-24,746,174,920
2012-12-25,573,440,1013
2012-12-26,432,9,441
2012-12-27,1867,247,2114
2012-12-28,2451,644,3095
2012-12-29,1182,159,1341
2012-12-30,1432,364,1796
2012-12-31,2290,439,2729
