record_id,date,hr,Cum_sum_registered,Cum_sum_cusual
73,2011-01-04,4,2563,582
74,2011-01-04,5,2567,582
75,2011-01-04,6,2603,582
76,2011-01-04,7,2695,584
77,2011-01-04,8,2872,586
78,2011-01-04,9,2970,588
79,2011-01-04,10,3007,593
80,2011-01-04,11,3057,600
81,2011-01-04,12,3123,612
82,2011-01-04,13,3202,630
83,2011-01-04,14,3256,639
84,2011-01-04,15,3304,656
85,2011-01-04,16,3372,671
86,2011-01-04,17,3574,681
87,2011-01-04,18,3753,684
88,2011-01-04,19,3863,686
89,2011-01-04,20,3916,687
90,2011-01-04,21,3964,687
91,2011-01-04,22,3998,688
92,2011-01-04,23,4007,690
93,2011-01-05,0,4013,690
94,2011-01-05,1,4019,690
95,2011-01-05,2,4021,690
96,2011-01-05,4,4023,690
97,2011-01-05,5,4026,690
98,2011-01-05,6,4059,690
99,2011-01-05,7,4146,691
100,2011-01-05,8,4338,694
101,2011-01-05,9,4447,700
102,2011-01-05,10,4500,704
103,2011-01-05,11,4534,716
104,2011-01-05,12,4608,721
105,2011-01-05,13,4673,727
106,2011-01-05,14,4725,737
107,2011-01-05,15,4780,744
108,2011-01-05,16,4865,748
109,2011-01-05,17,5051,752
110,2011-01-05,18,5217,755
111,2011-01-05,19,5344,760
112,2011-01-05,20,5426,767
113,2011-01-05,21,5466,770
114,2011-01-05,22,5507,771
115,2011-01-05,23,5525,772
116,2011-01-06,0,5536,772
117,2011-01-06,1,5540,772
118,2011-01-06,2,5542,772
119,2011-01-06,4,5543,772
120,2011-01-06,5,5547,772
121,2011-01-06,6,5583,772
122,2011-01-06,7,5678,772
123,2011-01-06,8,5894,775
124,2011-01-06,9,6010,781
125,2011-01-06,10,6052,784
126,2011-01-06,11,6109,786
127,2011-01-06,12,6187,792
128,2011-01-06,13,6242,804
129,2011-01-06,14,6301,815
130,2011-01-06,15,6355,823
131,2011-01-06,16,6429,835
132,2011-01-06,17,6592,844
133,2011-01-06,18,6750,849
134,2011-01-06,19,6859,852
135,2011-01-06,20,6925,855
136,2011-01-06,21,6973,855
137,2011-01-06,22,7024,856
138,2011-01-06,23,7043,860
139,2011-01-07,0,7056,864
140,2011-01-07,1,7061,866
141,2011-01-07,2,7062,866
142,2011-01-07,4,7063,866
143,2011-01-07,5,7068,866
144,2011-01-07,6,7094,874
145,2011-01-07,7,7170,882
146,2011-01-07,8,7360,902
147,2011-01-07,9,7485,911
148,2011-01-07,10,7532,927
149,2011-01-07,11,7580,946
150,2011-01-07,12,7630,955
151,2011-01-07,13,7694,964
152,2011-01-07,14,7737,971
153,2011-01-07,15,7800,980
154,2011-01-07,16,7882,985
155,2011-01-07,17,8060,994
156,2011-01-07,18,8176,1001
157,2011-01-07,19,8268,1004
158,2011-01-07,20,8318,1005
159,2011-01-07,21,8357,1005
160,2011-01-07,22,8391,1007
161,2011-01-07,23,8405,1008
162,2011-01-08,0,8429,1009
163,2011-01-08,1,8444,1010
164,2011-01-08,2,8457,1013
165,2011-01-08,3,8464,1013
166,2011-01-08,4,8465,1013
167,2011-01-08,5,8470,1013
168,2011-01-08,6,8472,1013
169,2011-01-08,7,8480,1014
170,2011-01-08,8,8495,1014
171,2011-01-08,9,8515,1014
172,2011-01-08,10,8571,1019
173,2011-01-08,11,8631,1021
174,2011-01-08,12,8721,1029
175,2011-01-08,13,8816,1036
176,2011-01-08,14,8899,1048
177,2011-01-08,15,8968,1053
178,2011-01-08,16,9036,1061
179,2011-01-08,17,9100,1066
180,2011-01-08,18,9152,1069
181,2011-01-08,19,9178,1073
182,2011-01-08,20,9206,1073
183,2011-01-08,21,9241,1075
184,2011-01-08,22,9274,1076
185,2011-01-08,23,9296,1076
186,2011-01-09,0,9320,1077
187,2011-01-09,1,9332,1077
188,2011-01-09,2,9343,1077
189,2011-01-09,3,9347,1077
190,2011-01-09,4,9348,1077
191,2011-01-09,5,9349,1077
192,2011-01-09,6,9350,1077
193,2011-01-09,7,9355,1078
194,2011-01-09,8,9365,1078
195,2011-01-09,9,9384,1078
196,2011-01-09,10,9433,1078
197,2011-01-09,11,9480,1080
198,2011-01-09,12,9559,1084
199,2011-01-09,13,9628,1090
200,2011-01-09,14,9692,1098
201,2011-01-09,15,9769,1103
202,2011-01-09,16,9848,1116
203,2011-01-09,17,9907,1119
204,2011-01-09,18,9951,1123
205,2011-01-09,19,9991,1124
206,2011-01-09,20,10029,1124
207,2011-01-09,21,10048,1125
208,2011-01-09,22,10058,1130
209,2011-01-09,23,10064,1130
210,2011-01-10,0,10067,1132
211,2011-01-10,1,10067,1133
212,2011-01-10,2,10070,1133
213,2011-01-10,3,10071,1133
214,2011-01-10,4,10073,1134
215,2011-01-10,5,10076,1134
216,2011-01-10,6,10107,1134
217,2011-01-10,7,10182,1136
218,2011-01-10,8,10366,1140
219,2011-01-10,9,10458,1142
220,2011-01-10,10,10489,1142
221,2011-01-10,11,10517,1144
222,2011-01-10,12,10564,1149
223,2011-01-10,13,10614,1153
224,2011-01-10,14,10661,1153
225,2011-01-10,15,10704,1155
226,2011-01-10,16,10774,1159
227,2011-01-10,17,10948,1163
228,2011-01-10,18,11102,1164
229,2011-01-10,19,11194,1167
230,2011-01-10,20,11267,1168
231,2011-01-10,21,11304,1169
232,2011-01-10,22,11326,1171
233,2011-01-10,23,11344,1171
234,2011-01-11,0,11354,1173
235,2011-01-11,1,11357,1173
236,2011-01-11,2,11360,1173
237,2011-01-11,5,11366,1173
238,2011-01-11,6,11393,1173
239,2011-01-11,7,11490,1175
240,2011-01-11,8,11704,1178
241,2011-01-11,9,11831,1181
242,2011-01-11,10,11882,1184
243,2011-01-11,11,11913,1188
244,2011-01-11,12,11968,1190
245,2011-01-11,13,12014,1196
246,2011-01-11,14,12074,1199
247,2011-01-11,15,12119,1201
248,2011-01-11,16,12191,1205
249,2011-01-11,17,12321,1211
250,2011-01-11,18,12415,1212
251,2011-01-11,19,12466,1212
252,2011-01-11,20,12498,1212
253,2011-01-11,21,12518,1212
254,2011-01-11,22,12546,1213
255,2011-01-11,23,12564,1214
256,2011-01-12,0,12571,1214
257,2011-01-12,1,12577,1214
258,2011-01-12,2,12578,1214
259,2011-01-12,5,12583,1214
260,2011-01-12,6,12599,1214
261,2011-01-12,7,12653,1214
262,2011-01-12,8,12778,1217
263,2011-01-12,9,12856,1220
264,2011-01-12,10,12895,1220
265,2011-01-12,11,12927,1223
266,2011-01-12,12,12979,1226
267,2011-01-12,13,13028,1226
268,2011-01-12,14,13072,1226
269,2011-01-12,15,13120,1227
270,2011-01-12,16,13183,1232
271,2011-01-12,17,13322,1232
272,2011-01-12,18,13457,1234
273,2011-01-12,19,13539,1235
274,2011-01-12,20,13593,1237
275,2011-01-12,21,13650,1237
276,2011-01-12,22,13682,1238
277,2011-01-12,23,13701,1239
278,2011-01-13,0,13707,1240
279,2011-01-13,1,13709,1240
280,2011-01-13,2,13711,1240
281,2011-01-13,3,13714,1240
282,2011-01-13,4,13718,1240
283,2011-01-13,5,13721,1240
284,2011-01-13,6,13749,1240
285,2011-01-13,7,13821,1240
286,2011-01-13,8,14018,1245
287,2011-01-13,9,14155,1247
288,2011-01-13,10,14191,1249
289,2011-01-13,11,14224,1253
290,2011-01-13,12,14273,1256
291,2011-01-13,13,14354,1258
292,2011-01-13,14,14393,1261
293,2011-01-13,15,14448,1266
294,2011-01-13,16,14524,1268
295,2011-01-13,17,14682,1272
296,2011-01-13,18,14823,1275
297,2011-01-13,19,14921,1276
298,2011-01-13,20,14985,1276
299,2011-01-13,21,15025,1276
300,2011-01-13,22,15055,1276
301,2011-01-13,23,15069,1277
302,2011-01-14,0,15083,1277
303,2011-01-14,1,15088,1277
304,2011-01-14,2,15089,1277
305,2011-01-14,3,15090,1277
306,2011-01-14,5,15098,1277
307,2011-01-14,6,15115,1277
308,2011-01-14,7,15185,1277
309,2011-01-14,8,15341,1279
310,2011-01-14,9,15458,1279
311,2011-01-14,10,15498,1283
312,2011-01-14,11,15545,1289
313,2011-01-14,12,15604,1291
314,2011-01-14,13,15677,1295
315,2011-01-14,14,15736,1300
316,2011-01-14,15,15795,1309
317,2011-01-14,16,15882,1312
318,2011-01-14,17,16037,1316
319,2011-01-14,18,16171,1321
320,2011-01-14,19,16260,1324
321,2011-01-14,20,16328,1324
322,2011-01-14,21,16376,1328
323,2011-01-14,22,16410,1330
324,2011-01-14,23,16436,1331
325,2011-01-15,0,16461,1334
326,2011-01-15,1,16479,1336
327,2011-01-15,2,16491,1336
328,2011-01-15,3,16498,1337
329,2011-01-15,4,16503,1337
330,2011-01-15,5,16504,1337
331,2011-01-15,6,16506,1338
332,2011-01-15,7,16515,1339
333,2011-01-15,8,16537,1340
334,2011-01-15,9,16568,1342
335,2011-01-15,10,16625,1344
336,2011-01-15,11,16679,1362
337,2011-01-15,12,16753,1377
338,2011-01-15,13,16833,1398
339,2011-01-15,14,16925,1424
340,2011-01-15,15,17033,1445
341,2011-01-15,16,17128,1478
342,2011-01-15,17,17182,1507
343,2011-01-15,18,17251,1522
344,2011-01-15,19,17311,1536
345,2011-01-15,20,17346,1542
346,2011-01-15,21,17397,1548
347,2011-01-15,22,17423,1548
348,2011-01-15,23,17462,1553
349,2011-01-16,0,17495,1559
350,2011-01-16,1,17514,1563
351,2011-01-16,2,17527,1566
352,2011-01-16,3,17533,1575
353,2011-01-16,4,17534,1575
354,2011-01-16,5,17535,1576
355,2011-01-16,6,17536,1576
356,2011-01-16,7,17539,1576
357,2011-01-16,8,17557,1576
358,2011-01-16,9,17586,1579
359,2011-01-16,10,17657,1587
360,2011-01-16,11,17727,1610
361,2011-01-16,12,17802,1639
362,2011-01-16,13,17897,1662
363,2011-01-16,14,17966,1684
364,2011-01-16,15,18044,1719
365,2011-01-16,16,18121,1741
366,2011-01-16,17,18203,1764
367,2011-01-16,18,18259,1775
368,2011-01-16,19,18306,1789
369,2011-01-16,20,18356,1796
370,2011-01-16,21,18378,1802
371,2011-01-16,22,18397,1804
372,2011-01-16,23,18415,1804
373,2011-01-17,0,18431,1805
374,2011-01-17,1,18446,1806
375,2011-01-17,2,18454,1806
376,2011-01-17,3,18456,1806
377,2011-01-17,4,18458,1807
378,2011-01-17,5,18459,1807
379,2011-01-17,6,18464,1807
380,2011-01-17,7,18473,1811
381,2011-01-17,8,18503,1814
382,2011-01-17,9,18542,1822
383,2011-01-17,10,18592,1829
384,2011-01-17,11,18647,1838
385,2011-01-17,12,18717,1848
386,2011-01-17,13,18797,1861
387,2011-01-17,14,18871,1873
388,2011-01-17,15,18943,1894
389,2011-01-17,16,19019,1900
390,2011-01-17,17,19086,1904
391,2011-01-17,18,19171,1911
392,2011-01-17,19,19229,1913
393,2011-01-17,20,19258,1917
394,2011-01-17,21,19282,1920
395,2011-01-17,22,19295,1920
396,2011-01-17,23,19298,1921
397,2011-01-18,12,19301,1921
398,2011-01-18,13,19323,1921
399,2011-01-18,14,19349,1923
400,2011-01-18,15,19381,1926
401,2011-01-18,16,19442,1926
402,2011-01-18,17,19566,1927
403,2011-01-18,18,19698,1928
404,2011-01-18,19,19796,1929
405,2011-01-18,20,19879,1929
406,2011-01-18,21,19920,1929
407,2011-01-18,22,19953,1929
408,2011-01-18,23,19972,1930
409,2011-01-19,0,19975,1930
410,2011-01-19,1,19981,1931
411,2011-01-19,2,19984,1931
412,2011-01-19,4,19985,1932
413,2011-01-19,5,19992,1932
414,2011-01-19,6,20024,1932
415,2011-01-19,7,20113,1933
416,2011-01-19,8,20309,1934
417,2011-01-19,9,20416,1936
418,2011-01-19,10,20462,1937
419,2011-01-19,11,20509,1942
420,2011-01-19,12,20574,1947
421,2011-01-19,13,20641,1958
422,2011-01-19,14,20709,1965
423,2011-01-19,15,20787,1969
424,2011-01-19,16,20881,1979
425,2011-01-19,17,21071,1986
426,2011-01-19,18,21227,1991
427,2011-01-19,19,21335,1995
428,2011-01-19,20,21409,1997
429,2011-01-19,21,21464,2001
430,2011-01-19,22,21517,2007
431,2011-01-19,23,21544,2008
432,2011-01-20,0,21552,2013
433,2011-01-20,1,21555,2015
434,2011-01-20,2,21557,2015
435,2011-01-20,3,21558,2015
436,2011-01-20,4,21559,2015
437,2011-01-20,5,21565,2015
438,2011-01-20,6,21600,2015
439,2011-01-20,7,21700,2016
440,2011-01-20,8,21947,2018
441,2011-01-20,9,22087,2021
442,2011-01-20,10,22143,2022
443,2011-01-20,11,22206,2027
444,2011-01-20,12,22283,2034
445,2011-01-20,13,22369,2046
446,2011-01-20,14,22444,2052
447,2011-01-20,15,22506,2060
448,2011-01-20,16,22589,2068
449,2011-01-20,17,22796,2076
450,2011-01-20,18,22980,2077
451,2011-01-20,19,23126,2083
452,2011-01-20,20,23250,2085
453,2011-01-20,21,23304,2088
454,2011-01-20,22,23360,2088
455,2011-01-20,23,23388,2091
456,2011-01-21,0,23408,2092
457,2011-01-21,1,23414,2092
458,2011-01-21,2,23416,2092
459,2011-01-21,3,23417,2092
460,2011-01-21,4,23418,2092
461,2011-01-21,5,23422,2093
462,2011-01-21,6,23449,2093
463,2011-01-21,7,23515,2095
464,2011-01-21,8,23725,2102
465,2011-01-21,9,23884,2109
466,2011-01-21,10,23941,2115
467,2011-01-21,11,23994,2121
468,2011-01-21,12,24061,2132
469,2011-01-21,13,24126,2140
470,2011-01-21,14,24182,2146
471,2011-01-21,15,24243,2150
472,2011-01-21,16,24340,2150
473,2011-01-21,17,24491,2160
474,2011-01-21,18,24610,2161
475,2011-01-21,19,24703,2164
476,2011-01-21,20,24755,2165
477,2011-01-21,21,24796,2165
478,2011-01-21,22,24829,2166
479,2011-01-21,23,24856,2166
480,2011-01-22,0,24869,2166
481,2011-01-22,1,24878,2169
482,2011-01-22,2,24889,2169
483,2011-01-22,3,24895,2170
484,2011-01-22,4,24898,2170
485,2011-01-22,6,24900,2170
486,2011-01-22,7,24908,2170
487,2011-01-22,8,24934,2171
488,2011-01-22,9,24971,2174
489,2011-01-22,10,25021,2177
490,2011-01-22,11,25080,2181
491,2011-01-22,12,25140,2191
492,2011-01-22,13,25212,2203
493,2011-01-22,14,25276,2214
494,2011-01-22,15,25369,2224
495,2011-01-22,16,25441,2235
496,2011-01-22,17,25500,2243
497,2011-01-22,18,25554,2243
498,2011-01-22,19,25607,2249
499,2011-01-22,20,25651,2250
500,2011-01-22,21,25690,2250
501,2011-01-22,22,25713,2257
502,2011-01-22,23,25744,2259
503,2011-01-23,0,25764,2261
504,2011-01-23,1,25776,2262
505,2011-01-23,2,25791,2265
506,2011-01-23,3,25795,2266
507,2011-01-23,5,25798,2266
508,2011-01-23,6,25799,2266
509,2011-01-23,7,25800,2267
510,2011-01-23,8,25817,2269
511,2011-01-23,9,25842,2272
512,2011-01-23,10,25893,2279
513,2011-01-23,11,25970,2301
514,2011-01-23,12,26062,2325
515,2011-01-23,13,26137,2337
516,2011-01-23,14,26230,2354
517,2011-01-23,15,26294,2367
518,2011-01-23,16,26350,2376
519,2011-01-23,17,26400,2381
520,2011-01-23,18,26444,2386
521,2011-01-23,19,26489,2391
522,2011-01-23,20,26520,2395
523,2011-01-23,21,26540,2400
524,2011-01-23,22,26563,2405
525,2011-01-23,23,26580,2409
526,2011-01-24,0,26587,2409
527,2011-01-24,1,26588,2409
528,2011-01-24,3,26589,2409
529,2011-01-24,4,26590,2409
530,2011-01-24,5,26595,2409
531,2011-01-24,6,26610,2409
532,2011-01-24,7,26689,2414
533,2011-01-24,8,26860,2420
534,2011-01-24,9,26958,2424
535,2011-01-24,10,26992,2430
536,2011-01-24,11,27035,2433
537,2011-01-24,12,27087,2444
538,2011-01-24,13,27141,2450
539,2011-01-24,14,27184,2452
540,2011-01-24,15,27234,2459
541,2011-01-24,16,27300,2463
542,2011-01-24,17,27478,2469
543,2011-01-24,18,27623,2477
544,2011-01-24,19,27724,2482
545,2011-01-24,20,27804,2483
546,2011-01-24,21,27857,2489
547,2011-01-24,22,27889,2492
548,2011-01-24,23,27910,2495
549,2011-01-25,0,27916,2498
550,2011-01-25,1,27921,2498
551,2011-01-25,2,27923,2498
552,2011-01-25,4,27924,2498
553,2011-01-25,5,27933,2498
554,2011-01-25,6,27968,2499
555,2011-01-25,7,28071,2504
556,2011-01-25,8,28304,2509
557,2011-01-25,9,28438,2519
558,2011-01-25,10,28487,2525
559,2011-01-25,11,28542,2531
560,2011-01-25,12,28627,2552
561,2011-01-25,13,28699,2573
562,2011-01-25,14,28756,2584
563,2011-01-25,15,28819,2605
564,2011-01-25,16,28921,2619
565,2011-01-25,17,29129,2633
566,2011-01-25,18,29347,2640
567,2011-01-25,19,29480,2653
568,2011-01-25,20,29583,2669
569,2011-01-25,21,29623,2674
570,2011-01-25,22,29672,2678
571,2011-01-25,23,29709,2681
572,2011-01-26,0,29723,2684
573,2011-01-26,1,29728,2684
574,2011-01-26,2,29735,2687
575,2011-01-26,5,29736,2687
576,2011-01-26,6,29744,2687
577,2011-01-26,7,29773,2688
578,2011-01-26,8,29842,2691
579,2011-01-26,9,29897,2694
580,2011-01-26,10,29923,2696
581,2011-01-26,11,29958,2702
582,2011-01-26,12,29999,2709
583,2011-01-26,13,30042,2713
584,2011-01-26,14,30078,2713
585,2011-01-26,15,30120,2714
586,2011-01-26,16,30155,2715
587,2011-01-26,17,30181,2715
588,2011-01-27,16,30204,2716
589,2011-01-27,17,30286,2718
590,2011-01-27,18,30387,2721
591,2011-01-27,19,30463,2724
592,2011-01-27,20,30518,2728
593,2011-01-27,21,30554,2730
594,2011-01-27,22,30581,2730
595,2011-01-27,23,30597,2730
596,2011-01-28,0,30606,2730
597,2011-01-28,1,30608,2731
598,2011-01-28,2,30610,2731
599,2011-01-28,3,30610,2732
600,2011-01-28,5,30614,2732
601,2011-01-28,6,30630,2732
602,2011-01-28,7,30688,2734
603,2011-01-28,8,30843,2736
604,2011-01-28,9,30938,2742
605,2011-01-28,10,30987,2742
606,2011-01-28,11,31017,2742
607,2011-01-28,12,31045,2743
608,2011-01-28,13,31076,2743
609,2011-01-28,14,31112,2745
610,2011-01-28,15,31152,2746
611,2011-01-28,16,31222,2756
612,2011-01-28,17,31369,2758
613,2011-01-28,18,31476,2760
614,2011-01-28,19,31560,2765
615,2011-01-28,20,31621,2766
616,2011-01-28,21,31678,2767
617,2011-01-28,22,31704,2767
618,2011-01-28,23,31726,2768
619,2011-01-29,0,31752,2770
620,2011-01-29,1,31772,2770
621,2011-01-29,2,31787,2770
622,2011-01-29,3,31792,2773
623,2011-01-29,4,31794,2774
624,2011-01-29,6,31796,2774
625,2011-01-29,7,31800,2775
626,2011-01-29,8,31831,2778
627,2011-01-29,9,31865,2778
628,2011-01-29,10,31916,2782
629,2011-01-29,11,31976,2786
630,2011-01-29,12,32042,2798
631,2011-01-29,13,32098,2807
632,2011-01-29,14,32187,2817
633,2011-01-29,15,32285,2839
634,2011-01-29,16,32373,2858
635,2011-01-29,17,32455,2867
636,2011-01-29,18,32514,2876
637,2011-01-29,19,32566,2882
638,2011-01-29,20,32608,2883
639,2011-01-29,21,32643,2884
640,2011-01-29,22,32671,2888
641,2011-01-29,23,32701,2891
642,2011-01-30,0,32734,2891
643,2011-01-30,1,32756,2898
644,2011-01-30,2,32766,2899
645,2011-01-30,3,32773,2900
646,2011-01-30,4,32774,2900
647,2011-01-30,5,32777,2900
648,2011-01-30,7,32780,2900
649,2011-01-30,8,32791,2901
650,2011-01-30,9,32825,2905
651,2011-01-30,10,32882,2912
652,2011-01-30,11,32932,2921
653,2011-01-30,12,33019,2931
654,2011-01-30,13,33090,2944
655,2011-01-30,14,33194,2962
656,2011-01-30,15,33289,2976
657,2011-01-30,16,33393,2995
658,2011-01-30,17,33464,3001
659,2011-01-30,18,33521,3009
660,2011-01-30,19,33567,3018
661,2011-01-30,20,33597,3021
662,2011-01-30,21,33622,3024
663,2011-01-30,22,33641,3026
664,2011-01-30,23,33657,3031
665,2011-01-31,0,33663,3032
666,2011-01-31,1,33668,3034
667,2011-01-31,2,33669,3034
668,2011-01-31,3,33671,3034
669,2011-01-31,4,33673,3034
670,2011-01-31,5,33681,3034
671,2011-01-31,6,33718,3034
672,2011-01-31,7,33789,3035
673,2011-01-31,8,33971,3038
674,2011-01-31,9,34083,3038
675,2011-01-31,10,34151,3039
676,2011-01-31,11,34197,3041
677,2011-01-31,12,34259,3047
678,2011-01-31,13,34311,3049
679,2011-01-31,14,34396,3050
680,2011-01-31,15,34437,3053
681,2011-01-31,16,34520,3056
682,2011-01-31,17,34675,3062
683,2011-01-31,18,34828,3065
684,2011-01-31,19,34936,3068
685,2011-01-31,20,35014,3068
686,2011-01-31,21,35067,3071
687,2011-01-31,22,35101,3071
688,2011-01-31,23,35116,3073
689,2011-02-01,0,35122,3075
690,2011-02-01,1,35125,3075
691,2011-02-01,2,35127,3075
692,2011-02-01,3,35129,3075
693,2011-02-01,5,35132,3075
694,2011-02-01,6,35154,3075
695,2011-02-01,7,35206,3075
696,2011-02-01,8,35338,3078
697,2011-02-01,9,35452,3080
698,2011-02-01,10,35499,3080
699,2011-02-01,11,35548,3082
700,2011-02-01,12,35601,3084
701,2011-02-01,13,35650,3087
702,2011-02-01,14,35699,3092
703,2011-02-01,15,35744,3099
704,2011-02-01,16,35805,3102
705,2011-02-01,17,35977,3106
706,2011-02-01,18,36142,3109
707,2011-02-01,19,36247,3112
708,2011-02-01,20,36316,3117
709,2011-02-01,21,36380,3117
710,2011-02-01,22,36414,3119
711,2011-02-01,23,36429,3120
712,2011-02-02,0,36431,3120
713,2011-02-02,1,36434,3120
714,2011-02-02,2,36434,3124
715,2011-02-02,3,36435,3124
716,2011-02-02,4,36436,3124
717,2011-02-02,5,36439,3124
718,2011-02-02,6,36456,3125
719,2011-02-02,7,36504,3126
720,2011-02-02,8,36658,3127
721,2011-02-02,9,36777,3131
722,2011-02-02,10,36836,3133
723,2011-02-02,11,36883,3138
724,2011-02-02,12,36944,3141
725,2011-02-02,13,37018,3142
726,2011-02-02,14,37079,3144
727,2011-02-02,15,37145,3154
728,2011-02-02,16,37240,3162
729,2011-02-02,17,37423,3169
730,2011-02-02,18,37598,3176
731,2011-02-02,19,37686,3179
732,2011-02-02,20,37757,3183
733,2011-02-02,21,37819,3184
734,2011-02-02,22,37854,3189
735,2011-02-02,23,37883,3192
736,2011-02-03,0,37894,3193
737,2011-02-03,1,37899,3193
738,2011-02-03,2,37901,3193
739,2011-02-03,3,37902,3193
740,2011-02-03,5,37904,3193
741,2011-02-03,6,37943,3193
742,2011-02-03,7,38029,3194
743,2011-02-03,8,38213,3198
744,2011-02-03,9,38340,3204
745,2011-02-03,10,38390,3206
746,2011-02-03,11,38445,3215
747,2011-02-03,12,38512,3217
748,2011-02-03,13,38559,3221
749,2011-02-03,14,38602,3225
750,2011-02-03,15,38658,3229
751,2011-02-03,16,38731,3234
752,2011-02-03,17,38901,3239
753,2011-02-03,18,39046,3241
754,2011-02-03,19,39138,3245
755,2011-02-03,20,39246,3246
756,2011-02-03,21,39299,3247
757,2011-02-03,22,39338,3249
758,2011-02-03,23,39372,3253
759,2011-02-04,0,39382,3256
760,2011-02-04,1,39389,3256
761,2011-02-04,2,39390,3256
762,2011-02-04,3,39391,3256
763,2011-02-04,5,39398,3256
764,2011-02-04,6,39424,3258
765,2011-02-04,7,39511,3258
766,2011-02-04,8,39728,3261
767,2011-02-04,9,39852,3264
768,2011-02-04,10,39898,3269
769,2011-02-04,11,39959,3272
770,2011-02-04,12,40037,3280
771,2011-02-04,13,40110,3289
772,2011-02-04,14,40186,3304
773,2011-02-04,15,40267,3313
774,2011-02-04,16,40358,3321
775,2011-02-04,17,40553,3331
776,2011-02-04,18,40705,3334
777,2011-02-04,19,40807,3335
778,2011-02-04,20,40876,3337
779,2011-02-04,21,40917,3339
780,2011-02-04,22,40962,3340
781,2011-02-04,23,40992,3341
782,2011-02-05,0,41028,3344
783,2011-02-05,1,41045,3345
784,2011-02-05,2,41057,3350
785,2011-02-05,3,41067,3351
786,2011-02-05,4,41075,3351
787,2011-02-05,5,41084,3351
788,2011-02-05,6,41088,3351
789,2011-02-05,7,41092,3351
790,2011-02-05,8,41102,3351
791,2011-02-05,9,41119,3354
792,2011-02-05,10,41150,3357
793,2011-02-05,11,41196,3358
794,2011-02-05,12,41238,3368
795,2011-02-05,13,41300,3378
796,2011-02-05,14,41350,3383
797,2011-02-05,15,41399,3394
798,2011-02-05,16,41462,3402
799,2011-02-05,17,41526,3416
800,2011-02-05,18,41607,3418
801,2011-02-05,19,41685,3424
802,2011-02-05,20,41749,3429
803,2011-02-05,21,41802,3432
804,2011-02-05,22,41845,3434
805,2011-02-05,23,41897,3441
806,2011-02-06,0,41934,3443
807,2011-02-06,1,41974,3447
808,2011-02-06,2,41994,3447
809,2011-02-06,3,42004,3450
810,2011-02-06,4,42006,3450
811,2011-02-06,5,42007,3450
812,2011-02-06,6,42008,3450
813,2011-02-06,7,42016,3450
814,2011-02-06,8,42037,3452
815,2011-02-06,9,42075,3459
816,2011-02-06,10,42149,3474
817,2011-02-06,11,42238,3502
818,2011-02-06,12,42364,3550
819,2011-02-06,13,42499,3597
820,2011-02-06,14,42613,3644
821,2011-02-06,15,42743,3696
822,2011-02-06,16,42858,3738
823,2011-02-06,17,42955,3762
824,2011-02-06,18,43020,3775
825,2011-02-06,19,43040,3776
826,2011-02-06,20,43061,3781
827,2011-02-06,21,43083,3786
828,2011-02-06,22,43140,3791
829,2011-02-06,23,43166,3795
830,2011-02-07,0,43180,3796
831,2011-02-07,1,43184,3797
