,dteday,season,yr,mnth,holiday,weekday,workingday
2594,2011-04-23,2,0,4,0,6,0
2618,2011-04-24,2,0,4,0,0,0
2642,2011-04-25,2,0,4,0,1,1
2666,2011-04-26,2,0,4,0,2,1
2690,2011-04-27,2,0,4,0,3,1
2714,2011-04-28,2,0,4,0,4,1
2738,2011-04-29,2,0,4,0,5,1
2762,2011-04-30,2,0,4,0,6,0
2786,2011-05-01,2,0,5,0,0,0
2810,2011-05-02,2,0,5,0,1,1
2834,2011-05-03,2,0,5,0,2,1
2858,2011-05-04,2,0,5,0,3,1
2882,2011-05-05,2,0,5,0,4,1
2906,2011-05-06,2,0,5,0,5,1
2930,2011-05-07,2,0,5,0,6,0
2954,2011-05-08,2,0,5,0,0,0
2978,2011-05-09,2,0,5,0,1,1
3002,2011-05-10,2,0,5,0,2,1
3026,2011-05-11,2,0,5,0,3,1
3050,2011-05-12,2,0,5,0,4,1
3074,2011-05-13,2,0,5,0,5,1
3098,2011-05-14,2,0,5,0,6,0
3122,2011-05-15,2,0,5,0,0,0
3146,2011-05-16,2,0,5,0,1,1
3170,2011-05-17,2,0,5,0,2,1
3194,2011-05-18,2,0,5,0,3,1
3218,2011-05-19,2,0,5,0,4,1
3242,2011-05-20,2,0,5,0,5,1
3266,2011-05-21,2,0,5,0,6,0
3290,2011-05-22,2,0,5,0,0,0
3314,2011-05-23,2,0,5,0,1,1
3338,2011-05-24,2,0,5,0,2,1
3362,2011-05-25,2,0,5,0,3,1
3386,2011-05-26,2,0,5,0,4,1
3410,2011-05-27,2,0,5,0,5,1
3434,2011-05-28,2,0,5,0,6,0
3458,2011-05-29,2,0,5,0,0,0
3482,2011-05-30,2,0,5,1,1,0
3506,2011-05-31,2,0,5,0,2,1
3530,2011-06-01,2,0,6,0,3,1
3554,2011-06-02,2,0,6,0,4,1
3578,2011-06-03,2,0,6,0,5,1
3602,2011-06-04,2,0,6,0,6,0
3626,2011-06-05,2,0,6,0,0,0
3650,2011-06-06,2,0,6,0,1,1
3674,2011-06-07,2,0,6,0,2,1
3698,2011-06-08,2,0,6,0,3,1
3722,2011-06-09,2,0,6,0,4,1
3746,2011-06-10,2,0,6,0,5,1
3770,2011-06-11,2,0,6,0,6,0
3794,2011-06-12,2,0,6,0,0,0
3818,2011-06-13,2,0,6,0,1,1
3842,2011-06-14,2,0,6,0,2,1
3866,2011-06-15,2,0,6,0,3,1
3890,2011-06-16,2,0,6,0,4,1
3914,2011-06-17,2,0,6,0,5,1
3938,2011-06-18,2,0,6,0,6,0
3962,2011-06-19,2,0,6,0,0,0
3986,2011-06-20,2,0,6,0,1,1
4010,2011-06-21,3,0,6,0,2,1
4034,2011-06-22,3,0,6,0,3,1
4058,2011-06-23,3,0,6,0,4,1
4082,2011-06-24,3,0,6,0,5,1
4106,2011-06-25,3,0,6,0,6,0
4130,2011-06-26,3,0,6,0,0,0
4154,2011-06-27,3,0,6,0,1,1
4178,2011-06-28,3,0,6,0,2,1
4202,2011-06-29,3,0,6,0,3,1
4226,2011-06-30,3,0,6,0,4,1
4250,2011-07-01,3,0,7,0,5,1
4274,2011-07-02,3,0,7,0,6,0
4298,2011-07-03,3,0,7,0,0,0
4322,2011-07-04,3,0,7,1,1,0
4346,2011-07-05,3,0,7,0,2,1
4370,2011-07-06,3,0,7,0,3,1
4394,2011-07-07,3,0,7,0,4,1
4418,2011-07-08,3,0,7,0,5,1
4442,2011-07-09,3,0,7,0,6,0
4466,2011-07-10,3,0,7,0,0,0
4490,2011-07-11,3,0,7,0,1,1
4514,2011-07-12,3,0,7,0,2,1
4538,2011-07-13,3,0,7,0,3,1
4562,2011-07-14,3,0,7,0,4,1
4586,2011-07-15,3,0,7,0,5,1
4610,2011-07-16,3,0,7,0,6,0
4634,2011-07-17,3,0,7,0,0,0
4658,2011-07-18,3,0,7,0,1,1
4682,2011-07-19,3,0,7,0,2,1
4706,2011-07-20,3,0,7,0,3,1
4730,2011-07-21,3,0,7,0,4,1
4754,2011-07-22,3,0,7,0,5,1
4778,2011-07-23,3,0,7,0,6,0
4802,2011-07-24,3,0,7,0,0,0
4826,2011-07-25,3,0,7,0,1,1
4850,2011-07-26,3,0,7,0,2,1
4874,2011-07-27,3,0,7,0,3,1
4898,2011-07-28,3,0,7,0,4,1
4922,2011-07-29,3,0,7,0,5,1
4946,2011-07-30,3,0,7,0,6,0
4970,2011-07-31,3,0,7,0,0,0
4994,2011-08-01,3,0,8,0,1,1
5018,2011-08-02,3,0,8,0,2,1
5042,2011-08-03,3,0,8,0,3,1
5066,2011-08-04,3,0,8,0,4,1
5090,2011-08-05,3,0,8,0,5,1
5114,2011-08-06,3,0,8,0,6,0
5138,2011-08-07,3,0,8,0,0,0
5162,2011-08-08,3,0,8,0,1,1
5186,2011-08-09,3,0,8,0,2,1
5210,2011-08-10,3,0,8,0,3,1
5234,2011-08-11,3,0,8,0,4,1
5258,2011-08-12,3,0,8,0,5,1
5282,2011-08-13,3,0,8,0,6,0
5306,2011-08-14,3,0,8,0,0,0
5330,2011-08-15,3,0,8,0,1,1
5354,2011-08-16,3,0,8,0,2,1
5378,2011-08-17,3,0,8,0,3,1
5402,2011-08-18,3,0,8,0,4,1
5426,2011-08-19,3,0,8,0,5,1
5450,2011-08-20,3,0,8,0,6,0
5474,2011-08-21,3,0,8,0,0,0
5498,2011-08-22,3,0,8,0,1,1
5522,2011-08-23,3,0,8,0,2,1
5546,2011-08-24,3,0,8,0,3,1
5570,2011-08-25,3,0,8,0,4,1
5594,2011-08-26,3,0,8,0,5,1
5618,2011-08-27,3,0,8,0,6,0
5636,2011-08-28,3,0,8,0,0,0
5653,2011-08-29,3,0,8,0,1,1
5677,2011-08-30,3,0,8,0,2,1
5701,2011-08-31,3,0,8,0,3,1
5725,2011-09-01,3,0,9,0,4,1
5749,2011-09-02,3,0,9,0,5,1
5773,2011-09-03,3,0,9,0,6,0
5797,2011-09-04,3,0,9,0,0,0
5821,2011-09-05,3,0,9,1,1,0
5845,2011-09-06,3,0,9,0,2,1
5868,2011-09-07,3,0,9,0,3,1
5892,2011-09-08,3,0,9,0,4,1
5915,2011-09-09,3,0,9,0,5,1
5939,2011-09-10,3,0,9,0,6,0
5963,2011-09-11,3,0,9,0,0,0
5987,2011-09-12,3,0,9,0,1,1
6010,2011-09-13,3,0,9,0,2,1
6034,2011-09-14,3,0,9,0,3,1
6058,2011-09-15,3,0,9,0,4,1
6082,2011-09-16,3,0,9,0,5,1
6106,2011-09-17,3,0,9,0,6,0
6130,2011-09-18,3,0,9,0,0,0
6154,2011-09-19,3,0,9,0,1,1
6178,2011-09-20,3,0,9,0,2,1
6202,2011-09-21,3,0,9,0,3,1
6226,2011-09-22,3,0,9,0,4,1
6250,2011-09-23,4,0,9,0,5,1
6274,2011-09-24,4,0,9,0,6,0
6298,2011-09-25,4,0,9,0,0,0
6322,2011-09-26,4,0,9,0,1,1
6346,2011-09-27,4,0,9,0,2,1
6370,2011-09-28,4,0,9,0,3,1
6394,2011-09-29,4,0,9,0,4,1
6418,2011-09-30,4,0,9,0,5,1
6442,2011-10-01,4,0,10,0,6,0
6466,2011-10-02,4,0,10,0,0,0
6490,2011-10-03,4,0,10,0,1,1
6514,2011-10-04,4,0,10,0,2,1
6538,2011-10-05,4,0,10,0,3,1
6562,2011-10-06,4,0,10,0,4,1
6586,2011-10-07,4,0,10,0,5,1
6610,2011-10-08,4,0,10,0,6,0
6634,2011-10-09,4,0,10,0,0,0
6658,2011-10-10,4,0,10,1,1,0
6682,2011-10-11,4,0,10,0,2,1
6706,2011-10-12,4,0,10,0,3,1
6730,2011-10-13,4,0,10,0,4,1
6754,2011-10-14,4,0,10,0,5,1
6778,2011-10-15,4,0,10,0,6,0
6802,2011-10-16,4,0,10,0,0,0
6826,2011-10-17,4,0,10,0,1,1
6850,2011-10-18,4,0,10,0,2,1
6874,2011-10-19,4,0,10,0,3,1
6897,2011-10-20,4,0,10,0,4,1
6921,2011-10-21,4,0,10,0,5,1
6945,2011-10-22,4,0,10,0,6,0
6969,2011-10-23,4,0,10,0,0,0
6993,2011-10-24,4,0,10,0,1,1
7017,2011-10-25,4,0,10,0,2,1
7041,2011-10-26,4,0,10,0,3,1
7065,2011-10-27,4,0,10,0,4,1
7089,2011-10-28,4,0,10,0,5,1
7113,2011-10-29,4,0,10,0,6,0
7137,2011-10-30,4,0,10,0,0,0
7161,2011-10-31,4,0,10,0,1,1
7185,2011-11-01,4,0,11,0,2,1
7209,2011-11-02,4,0,11,0,3,1
7233,2011-11-03,4,0,11,0,4,1
7257,2011-11-04,4,0,11,0,5,1
7281,2011-11-05,4,0,11,0,6,0
7305,2011-11-06,4,0,11,0,0,0
7329,2011-11-07,4,0,11,0,1,1
7353,2011-11-08,4,0,11,0,2,1
7377,2011-11-09,4,0,11,0,3,1
7401,2011-11-10,4,0,11,0,4,1
7425,2011-11-11,4,0,11,1,5,0
7449,2011-11-12,4,0,11,0,6,0
7473,2011-11-13,4,0,11,0,0,0
7497,2011-11-14,4,0,11,0,1,1
7521,2011-11-15,4,0,11,0,2,1
7545,2011-11-16,4,0,11,0,3,1
7569,2011-11-17,4,0,11,0,4,1
7593,2011-11-18,4,0,11,0,5,1
7617,2011-11-19,4,0,11,0,6,0
7641,2011-11-20,4,0,11,0,0,0
7665,2011-11-21,4,0,11,0,1,1
7689,2011-11-22,4,0,11,0,2,1
7713,2011-11-23,4,0,11,0,3,1
7737,2011-11-24,4,0,11,1,4,0
7761,2011-11-25,4,0,11,0,5,1
7785,2011-11-26,4,0,11,0,6,0
7809,2011-11-27,4,0,11,0,0,0
7833,2011-11-28,4,0,11,0,1,1
7856,2011-11-29,4,0,11,0,2,1
7880,2011-11-30,4,0,11,0,3,1
7904,2011-12-01,4,0,12,0,4,1
7928,2011-12-02,4,0,12,0,5,1
7952,2011-12-03,4,0,12,0,6,0
7976,2011-12-04,4,0,12,0,0,0
8000,2011-12-05,4,0,12,0,1,1
8024,2011-12-06,4,0,12,0,2,1
8048,2011-12-07,4,0,12,0,3,1
8072,2011-12-08,4,0,12,0,4,1
8096,2011-12-09,4,0,12,0,5,1
8120,2011-12-10,4,0,12,0,6,0
8144,2011-12-11,4,0,12,0,0,0
8168,2011-12-12,4,0,12,0,1,1
8192,2011-12-13,4,0,12,0,2,1
8216,2011-12-14,4,0,12,0,3,1
8240,2011-12-15,4,0,12,0,4,1
8264,2011-12-16,4,0,12,0,5,1
8288,2011-12-17,4,0,12,0,6,0
8312,2011-12-18,4,0,12,0,0,0
8336,2011-12-19,4,0,12,0,1,1
8360,2011-12-20,4,0,12,0,2,1
8384,2011-12-21,1,0,12,0,3,1
8408,2011-12-22,1,0,12,0,4,1
8432,2011-12-23,1,0,12,0,5,1
8456,2011-12-24,1,0,12,0,6,0
8480,2011-12-25,1,0,12,0,0,0
8503,2011-12-26,1,0,12,1,1,0
8526,2011-12-27,1,0,12,0,2,1
8550,2011-12-28,1,0,12,0,3,1
8573,2011-12-29,1,0,12,0,4,1
8597,2011-12-30,1,0,12,0,5,1
8621,2011-12-31,1,0,12,0,6,0
8645,2012-01-01,1,1,1,0,0,0
8669,2012-01-02,1,1,1,1,1,0
8692,2012-01-03,1,1,1,0,2,1
8716,2012-01-04,1,1,1,0,3,1
8740,2012-01-05,1,1,1,0,4,1
8764,2012-01-06,1,1,1,0,5,1
8788,2012-01-07,1,1,1,0,6,0
8812,2012-01-08,1,1,1,0,0,0
8836,2012-01-09,1,1,1,0,1,1
8860,2012-01-10,1,1,1,0,2,1
8883,2012-01-11,1,1,1,0,3,1
8907,2012-01-12,1,1,1,0,4,1
8931,2012-01-13,1,1,1,0,5,1
8955,2012-01-14,1,1,1,0,6,0
8979,2012-01-15,1,1,1,0,0,0
9003,2012-01-16,1,1,1,1,1,0
9027,2012-01-17,1,1,1,0,2,1
9050,2012-01-18,1,1,1,0,3,1
9074,2012-01-19,1,1,1,0,4,1
9098,2012-01-20,1,1,1,0,5,1
9122,2012-01-21,1,1,1,0,6,0
9146,2012-01-22,1,1,1,0,0,0
9170,2012-01-23,1,1,1,0,1,1
9194,2012-01-24,1,1,1,0,2,1
9218,2012-01-25,1,1,1,0,3,1
9242,2012-01-26,1,1,1,0,4,1
9266,2012-01-27,1,1,1,0,5,1
9290,2012-01-28,1,1,1,0,6,0
9314,2012-01-29,1,1,1,0,0,0
9338,2012-01-30,1,1,1,0,1,1
9362,2012-01-31,1,1,1,0,2,1
9386,2012-02-01,1,1,2,0,3,1
9410,2012-02-02,1,1,2,0,4,1
9434,2012-02-03,1,1,2,0,5,1
9458,2012-02-04,1,1,2,0,6,0
9482,2012-02-05,1,1,2,0,0,0
9506,2012-02-06,1,1,2,0,1,1
9529,2012-02-07,1,1,2,0,2,1
9553,2012-02-08,1,1,2,0,3,1
9577,2012-02-09,1,1,2,0,4,1
9601,2012-02-10,1,1,2,0,5,1
9625,2012-02-11,1,1,2,0,6,0
9649,2012-02-12,1,1,2,0,0,0
9673,2012-02-13,1,1,2,0,1,1
9697,2012-02-14,1,1,2,0,2,1
9721,2012-02-15,1,1,2,0,3,1
9745,2012-02-16,1,1,2,0,4,1
9769,2012-02-17,1,1,2,0,5,1
9793,2012-02-18,1,1,2,0,6,0
9817,2012-02-19,1,1,2,0,0,0
9841,2012-02-20,1,1,2,1,1,0
9864,2012-02-21,1,1,2,0,2,1
9887,2012-02-22,1,1,2,0,3,1
9911,2012-02-23,1,1,2,0,4,1
9935,2012-02-24,1,1,2,0,5,1
9959,2012-02-25,1,1,2,0,6,0
9983,2012-02-26,1,1,2,0,0,0
10007,2012-02-27,1,1,2,0,1,1
10031,2012-02-28,1,1,2,0,2,1
10055,2012-02-29,1,1,2,0,3,1
10078,2012-03-01,1,1,3,0,4,1
10102,2012-03-02,1,1,3,0,5,1
10126,2012-03-03,1,1,3,0,6,0
10150,2012-03-04,1,1,3,0,0,0
10174,2012-03-05,1,1,3,0,1,1
10198,2012-03-06,1,1,3,0,2,1
10222,2012-03-07,1,1,3,0,3,1
10246,2012-03-08,1,1,3,0,4,1
10270,2012-03-09,1,1,3,0,5,1
10294,2012-03-10,1,1,3,0,6,0
10318,2012-03-11,1,1,3,0,0,0
10341,2012-03-12,1,1,3,0,1,1
10365,2012-03-13,1,1,3,0,2,1
10389,2012-03-14,1,1,3,0,3,1
10413,2012-03-15,1,1,3,0,4,1
10437,2012-03-16,1,1,3,0,5,1
10461,2012-03-17,1,1,3,0,6,0
10485,2012-03-18,1,1,3,0,0,0
10509,2012-03-19,1,1,3,0,1,1
10533,2012-03-20,1,1,3,0,2,1
10557,2012-03-21,2,1,3,0,3,1
10581,2012-03-22,2,1,3,0,4,1
10605,2012-03-23,2,1,3,0,5,1
10629,2012-03-24,2,1,3,0,6,0
10653,2012-03-25,2,1,3,0,0,0
10677,2012-03-26,2,1,3,0,1,1
10701,2012-03-27,2,1,3,0,2,1
10725,2012-03-28,2,1,3,0,3,1
10749,2012-03-29,2,1,3,0,4,1
10773,2012-03-30,2,1,3,0,5,1
10797,2012-03-31,2,1,3,0,6,0
10821,2012-04-01,2,1,4,0,0,0
10845,2012-04-02,2,1,4,0,1,1
10868,2012-04-03,2,1,4,0,2,1
10892,2012-04-04,2,1,4,0,3,1
10916,2012-04-05,2,1,4,0,4,1
10940,2012-04-06,2,1,4,0,5,1
10964,2012-04-07,2,1,4,0,6,0
10988,2012-04-08,2,1,4,0,0,0
11012,2012-04-09,2,1,4,0,1,1
11036,2012-04-10,2,1,4,0,2,1
11060,2012-04-11,2,1,4,0,3,1
11083,2012-04-12,2,1,4,0,4,1
11107,2012-04-13,2,1,4,0,5,1
11131,2012-04-14,2,1,4,0,6,0
11155,2012-04-15,2,1,4,0,0,0
11179,2012-04-16,2,1,4,1,1,0
11203,2012-04-17,2,1,4,0,2,1
11227,2012-04-18,2,1,4,0,3,1
11251,2012-04-19,2,1,4,0,4,1
11275,2012-04-20,2,1,4,0,5,1
11299,2012-04-21,2,1,4,0,6,0
11323,2012-04-22,2,1,4,0,0,0
11347,2012-04-23,2,1,4,0,1,1
11371,2012-04-24,2,1,4,0,2,1
11395,2012-04-25,2,1,4,0,3,1
11419,2012-04-26,2,1,4,0,4,1
11443,2012-04-27,2,1,4,0,5,1
11467,2012-04-28,2,1,4,0,6,0
11491,2012-04-29,2,1,4,0,0,0
11515,2012-04-30,2,1,4,0,1,1
11539,2012-05-01,2,1,5,0,2,1
11563,2012-05-02,2,1,5,0,3,1
11587,2012-05-03,2,1,5,0,4,1
11611,2012-05-04,2,1,5,0,5,1
11635,2012-05-05,2,1,5,0,6,0
11659,2012-05-06,2,1,5,0,0,0
11683,2012-05-07,2,1,5,0,1,1
11707,2012-05-08,2,1,5,0,2,1
11731,2012-05-09,2,1,5,0,3,1
11755,2012-05-10,2,1,5,0,4,1
11779,2012-05-11,2,1,5,0,5,1
11803,2012-05-12,2,1,5,0,6,0
11827,2012-05-13,2,1,5,0,0,0
11851,2012-05-14,2,1,5,0,1,1
11875,2012-05-15,2,1,5,0,2,1
11899,2012-05-16,2,1,5,0,3,1
11923,2012-05-17,2,1,5,0,4,1
11947,2012-05-18,2,1,5,0,5,1
11971,2012-05-19,2,1,5,0,6,0
11995,2012-05-20,2,1,5,0,0,0
12019,2012-05-21,2,1,5,0,1,1
12043,2012-05-22,2,1,5,0,2,1
12067,2012-05-23,2,1,5,0,3,1
12091,2012-05-24,2,1,5,0,4,1
12115,2012-05-25,2,1,5,0,5,1
12139,2012-05-26,2,1,5,0,6,0
12163,2012-05-27,2,1,5,0,0,0
12187,2012-05-28,2,1,5,1,1,0
12211,2012-05-29,2,1,5,0,2,1
12235,2012-05-30,2,1,5,0,3,1
12259,2012-05-31,2,1,5,0,4,1
12283,2012-06-01,2,1,6,0,5,1
12307,2012-06-02,2,1,6,0,6,0
12331,2012-06-03,2,1,6,0,0,0
12355,2012-06-04,2,1,6,0,1,1
12379,2012-06-05,2,1,6,0,2,1
12403,2012-06-06,2,1,6,0,3,1
12427,2012-06-07,2,1,6,0,4,1
12451,2012-06-08,2,1,6,0,5,1
12475,2012-06-09,2,1,6,0,6,0
12499,2012-06-10,2,1,6,0,0,0
12523,2012-06-11,2,1,6,0,1,1
12547,2012-06-12,2,1,6,0,2,1
12571,2012-06-13,2,1,6,0,3,1
12595,2012-06-14,2,1,6,0,4,1
12619,2012-06-15,2,1,6,0,5,1
12643,2012-06-16,2,1,6,0,6,0
12667,2012-06-17,2,1,6,0,0,0
12691,2012-06-18,2,1,6,0,1,1
12715,2012-06-19,2,1,6,0,2,1
12739,2012-06-20,2,1,6,0,3,1
12763,2012-06-21,3,1,6,0,4,1
12787,2012-06-22,3,1,6,0,5,1
12811,2012-06-23,3,1,6,0,6,0
12835,2012-06-24,3,1,6,0,0,0
12859,2012-06-25,3,1,6,0,1,1
12883,2012-06-26,3,1,6,0,2,1
12907,2012-06-27,3,1,6,0,3,1
12931,2012-06-28,3,1,6,0,4,1
12955,2012-06-29,3,1,6,0,5,1
12979,2012-06-30,3,1,6,0,6,0
13003,2012-07-01,3,1,7,0,0,0
13027,2012-07-02,3,1,7,0,1,1
13051,2012-07-03,3,1,7,0,2,1
13075,2012-07-04,3,1,7,1,3,0
13099,2012-07-05,3,1,7,0,4,1
13123,2012-07-06,3,1,7,0,5,1
13147,2012-07-07,3,1,7,0,6,0
13171,2012-07-08,3,1,7,0,0,0
13195,2012-07-09,3,1,7,0,1,1
13219,2012-07-10,3,1,7,0,2,1
13243,2012-07-11,3,1,7,0,3,1
13267,2012-07-12,3,1,7,0,4,1
13291,2012-07-13,3,1,7,0,5,1
13315,2012-07-14,3,1,7,0,6,0
13339,2012-07-15,3,1,7,0,0,0
13363,2012-07-16,3,1,7,0,1,1
13387,2012-07-17,3,1,7,0,2,1
13411,2012-07-18,3,1,7,0,3,1
13435,2012-07-19,3,1,7,0,4,1
13459,2012-07-20,3,1,7,0,5,1
13483,2012-07-21,3,1,7,0,6,0
13507,2012-07-22,3,1,7,0,0,0
13531,2012-07-23,3,1,7,0,1,1
13555,2012-07-24,3,1,7,0,2,1
13579,2012-07-25,3,1,7,0,3,1
13603,2012-07-26,3,1,7,0,4,1
13627,2012-07-27,3,1,7,0,5,1
13651,2012-07-28,3,1,7,0,6,0
13675,2012-07-29,3,1,7,0,0,0
13699,2012-07-30,3,1,7,0,1,1
13723,2012-07-31,3,1,7,0,2,1
13747,2012-08-01,3,1,8,0,3,1
13771,2012-08-02,3,1,8,0,4,1
13795,2012-08-03,3,1,8,0,5,1
13819,2012-08-04,3,1,8,0,6,0
13843,2012-08-05,3,1,8,0,0,0
13867,2012-08-06,3,1,8,0,1,1
13891,2012-08-07,3,1,8,0,2,1
13915,2012-08-08,3,1,8,0,3,1
13939,2012-08-09,3,1,8,0,4,1
13963,2012-08-10,3,1,8,0,5,1
13987,2012-08-11,3,1,8,0,6,0
14011,2012-08-12,3,1,8,0,0,0
14035,2012-08-13,3,1,8,0,1,1
14059,2012-08-14,3,1,8,0,2,1
14083,2012-08-15,3,1,8,0,3,1
14107,2012-08-16,3,1,8,0,4,1
14131,2012-08-17,3,1,8,0,5,1
14155,2012-08-18,3,1,8,0,6,0
14179,2012-08-19,3,1,8,0,0,0
14203,2012-08-20,3,1,8,0,1,1
14227,2012-08-21,3,1,8,0,2,1
14251,2012-08-22,3,1,8,0,3,1
14275,2012-08-23,3,1,8,0,4,1
14299,2012-08-24,3,1,8,0,5,1
14323,2012-08-25,3,1,8,0,6,0
14347,2012-08-26,3,1,8,0,0,0
14371,2012-08-27,3,1,8,0,1,1
14395,2012-08-28,3,1,8,0,2,1
14419,2012-08-29,3,1,8,0,3,1
14443,2012-08-30,3,1,8,0,4,1
14467,2012-08-31,3,1,8,0,5,1
14491,2012-09-01,3,1,9,0,6,0
14515,2012-09-02,3,1,9,0,0,0
14539,2012-09-03,3,1,9,1,1,0
14563,2012-09-04,3,1,9,0,2,1
14587,2012-09-05,3,1,9,0,3,1
14611,2012-09-06,3,1,9,0,4,1
14635,2012-09-07,3,1,9,0,5,1
14659,2012-09-08,3,1,9,0,6,0
14683,2012-09-09,3,1,9,0,0,0
14707,2012-09-10,3,1,9,0,1,1
14731,2012-09-11,3,1,9,0,2,1
14755,2012-09-12,3,1,9,0,3,1
14779,2012-09-13,3,1,9,0,4,1
14803,2012-09-14,3,1,9,0,5,1
14827,2012-09-15,3,1,9,0,6,0
14851,2012-09-16,3,1,9,0,0,0
14875,2012-09-17,3,1,9,0,1,1
14899,2012-09-18,3,1,9,0,2,1
14923,2012-09-19,3,1,9,0,3,1
14947,2012-09-20,3,1,9,0,4,1
14971,2012-09-21,3,1,9,0,5,1
14995,2012-09-22,3,1,9,0,6,0
15019,2012-09-23,4,1,9,0,0,0
15043,2012-09-24,4,1,9,0,1,1
15067,2012-09-25,4,1,9,0,2,1
15091,2012-09-26,4,1,9,0,3,1
15115,2012-09-27,4,1,9,0,4,1
