,weathersit,temp,atemp,hum,windspeed
86,1,0.26,0.2576,0.48,0.194
87,1,0.24,0.2576,0.48,0.1045
88,1,0.24,0.2576,0.48,0.1045
89,1,0.22,0.2727,0.64,0.0
90,1,0.22,0.2576,0.64,0.0896
91,1,0.2,0.2273,0.69,0.0896
92,1,0.2,0.2576,0.64,0.0
93,1,0.16,0.197,0.74,0.0896
94,1,0.16,0.197,0.74,0.0896
95,1,0.24,0.2273,0.48,0.2239
96,1,0.22,0.2273,0.47,0.1642
97,1,0.2,0.197,0.47,0.2239
98,1,0.18,0.1818,0.43,0.194
99,1,0.2,0.1818,0.4,0.2985
100,1,0.22,0.197,0.37,0.3284
101,1,0.22,0.197,0.37,0.3284
102,1,0.26,0.2273,0.33,0.3284
103,1,0.26,0.2273,0.33,0.3284
104,1,0.28,0.2576,0.3,0.2985
105,1,0.3,0.2879,0.28,0.194
106,1,0.3,0.2879,0.28,0.194
107,1,0.3,0.3182,0.28,0.0896
108,1,0.24,0.2273,0.38,0.194
109,1,0.24,0.2424,0.38,0.1343
110,1,0.24,0.2576,0.38,0.1045
111,1,0.22,0.2273,0.47,0.1642
112,1,0.2,0.197,0.51,0.194
113,1,0.18,0.197,0.55,0.1343
114,1,0.2,0.2576,0.47,0.0
115,1,0.18,0.2424,0.55,0.0
116,1,0.16,0.2273,0.64,0.0
117,1,0.16,0.2273,0.64,0.0
118,2,0.16,0.197,0.64,0.0896
119,2,0.14,0.1818,0.69,0.0896
120,2,0.14,0.1667,0.63,0.1045
121,2,0.16,0.2273,0.59,0.0
122,1,0.16,0.2273,0.59,0.0
123,2,0.18,0.2424,0.51,0.0
124,1,0.2,0.2576,0.47,0.0
125,1,0.22,0.2576,0.44,0.0896
126,1,0.26,0.2879,0.35,0.0
127,1,0.26,0.2727,0.35,0.1045
128,1,0.28,0.2727,0.36,0.1642
129,1,0.28,0.2727,0.36,0.0
130,1,0.26,0.2576,0.38,0.1642
131,1,0.22,0.2273,0.51,0.1642
132,1,0.22,0.2273,0.51,0.1343
133,1,0.22,0.2576,0.55,0.0896
134,1,0.2,0.2121,0.51,0.1642
135,2,0.22,0.2121,0.55,0.2239
136,2,0.22,0.2121,0.51,0.2836
137,2,0.2,0.197,0.59,0.194
138,2,0.2,0.197,0.64,0.194
139,2,0.2,0.197,0.69,0.2239
140,2,0.2,0.197,0.69,0.2239
141,2,0.2,0.2121,0.69,0.1343
142,3,0.22,0.2727,0.55,0.0
143,2,0.2,0.2576,0.69,0.0
144,1,0.2,0.2121,0.69,0.1343
145,1,0.2,0.197,0.51,0.2537
146,1,0.2,0.1818,0.47,0.2985
147,1,0.22,0.197,0.37,0.3284
148,2,0.2,0.197,0.4,0.2239
149,2,0.2,0.197,0.37,0.2537
150,2,0.2,0.1818,0.37,0.2836
151,2,0.2,0.197,0.4,0.2537
152,2,0.2,0.2121,0.37,0.1642
153,2,0.2,0.2121,0.37,0.1642
154,2,0.2,0.2576,0.37,0.0
155,1,0.2,0.2273,0.4,0.0896
156,1,0.16,0.197,0.55,0.0896
157,1,0.18,0.2121,0.47,0.1045
158,1,0.18,0.197,0.47,0.1343
159,2,0.18,0.197,0.43,0.1642
160,2,0.18,0.197,0.51,0.1642
161,2,0.18,0.197,0.51,0.1642
162,2,0.18,0.2121,0.55,0.0896
163,2,0.18,0.2424,0.55,0.0
164,3,0.18,0.197,0.55,0.1642
165,3,0.18,0.197,0.55,0.1642
166,2,0.16,0.1667,0.74,0.1642
167,2,0.16,0.1667,0.74,0.1642
168,2,0.16,0.1818,0.74,0.1045
169,3,0.16,0.1818,0.93,0.1045
170,3,0.16,0.1818,0.93,0.1045
171,2,0.18,0.197,0.8,0.1642
172,2,0.2,0.1818,0.69,0.3881
173,2,0.2,0.1818,0.59,0.3582
174,1,0.2,0.1818,0.44,0.3284
175,1,0.2,0.1667,0.32,0.4925
176,1,0.2,0.1667,0.32,0.4478
177,1,0.18,0.1364,0.29,0.4478
178,1,0.16,0.1212,0.37,0.5522
179,1,0.14,0.1212,0.39,0.2985
180,1,0.14,0.1212,0.36,0.2537
181,1,0.12,0.1212,0.36,0.2537
182,1,0.12,0.1061,0.39,0.3582
183,1,0.12,0.1061,0.36,0.3881
184,1,0.1,0.0606,0.39,0.4478
185,1,0.1,0.0758,0.42,0.3881
186,1,0.1,0.0606,0.42,0.4627
187,1,0.1,0.0606,0.46,0.4627
188,1,0.1,0.0758,0.46,0.4179
189,1,0.08,0.0909,0.53,0.194
190,1,0.08,0.0909,0.53,0.194
191,1,0.1,0.0909,0.49,0.2836
192,1,0.08,0.0909,0.53,0.194
193,1,0.1,0.0909,0.49,0.2836
194,1,0.12,0.0758,0.46,0.5224
195,1,0.14,0.1061,0.43,0.3881
196,1,0.16,0.1212,0.4,0.5224
197,1,0.18,0.1364,0.37,0.4478
198,1,0.2,0.1667,0.34,0.4478
199,1,0.22,0.1818,0.32,0.4627
200,1,0.22,0.197,0.35,0.3582
201,1,0.2,0.1667,0.34,0.4478
202,1,0.18,0.1515,0.37,0.3881
203,1,0.16,0.1364,0.4,0.3284
204,1,0.16,0.1364,0.43,0.3284
205,1,0.14,0.1212,0.46,0.2537
206,1,0.14,0.1061,0.46,0.4179
207,1,0.14,0.1212,0.46,0.2985
208,1,0.12,0.1364,0.5,0.194
209,1,0.12,0.1212,0.5,0.2836
210,1,0.12,0.1212,0.5,0.2836
211,1,0.12,0.1212,0.5,0.2239
212,1,0.12,0.1212,0.5,0.2239
213,1,0.1,0.1212,0.54,0.1343
214,1,0.1,0.1061,0.54,0.2537
215,1,0.12,0.1212,0.5,0.2836
216,1,0.12,0.1212,0.5,0.2239
217,2,0.12,0.1212,0.5,0.2836
218,2,0.14,0.1212,0.5,0.2537
219,2,0.14,0.1212,0.5,0.2985
220,2,0.16,0.1364,0.47,0.2836
221,2,0.2,0.1818,0.4,0.2836
222,2,0.2,0.1818,0.4,0.2836
223,2,0.2,0.197,0.4,0.2239
224,2,0.2,0.197,0.4,0.2239
225,1,0.2,0.2121,0.4,0.1343
226,1,0.2,0.2273,0.4,0.1045
227,1,0.2,0.197,0.4,0.2239
228,1,0.16,0.1667,0.47,0.1642
229,1,0.16,0.1667,0.5,0.1642
230,1,0.14,0.1364,0.59,0.194
231,1,0.14,0.1515,0.59,0.1642
232,1,0.14,0.1515,0.59,0.1642
233,1,0.14,0.1667,0.59,0.1045
234,1,0.14,0.1515,0.59,0.1642
235,2,0.16,0.1515,0.55,0.194
236,2,0.16,0.1818,0.55,0.1343
237,2,0.16,0.1818,0.55,0.1343
238,2,0.16,0.2273,0.55,0.0
239,2,0.18,0.2121,0.51,0.0896
240,2,0.18,0.197,0.51,0.1642
241,2,0.2,0.2121,0.51,0.1642
242,2,0.2,0.2121,0.47,0.1343
243,2,0.2,0.2273,0.51,0.1045
244,2,0.2,0.2273,0.59,0.0896
245,2,0.2,0.2273,0.59,0.0896
246,2,0.16,0.197,0.8,0.0896
247,2,0.16,0.1515,0.86,0.2239
248,2,0.16,0.1515,0.86,0.2239
249,3,0.16,0.1818,0.93,0.1045
250,3,0.16,0.2273,0.93,0.0
251,3,0.16,0.1515,0.93,0.194
252,3,0.16,0.197,0.86,0.0896
253,3,0.16,0.1818,0.93,0.1045
254,3,0.16,0.197,0.93,0.0896
255,2,0.16,0.197,0.86,0.0896
256,2,0.16,0.1818,0.86,0.1045
257,1,0.14,0.1515,0.86,0.1343
258,1,0.14,0.1515,0.86,0.1642
259,1,0.12,0.1515,0.93,0.1343
260,1,0.14,0.1515,0.69,0.1343
261,1,0.16,0.1667,0.59,0.1642
262,1,0.16,0.1364,0.59,0.3284
263,1,0.18,0.1818,0.55,0.2239
264,1,0.2,0.1818,0.51,0.3881
265,1,0.2,0.1515,0.47,0.5821
266,1,0.22,0.197,0.44,0.3582
267,1,0.2,0.1818,0.47,0.3284
268,1,0.2,0.1667,0.47,0.4179
269,1,0.22,0.197,0.44,0.3284
270,1,0.2,0.1818,0.47,0.3582
271,1,0.2,0.1515,0.47,0.5224
272,1,0.18,0.1515,0.47,0.4179
273,1,0.16,0.1364,0.5,0.3284
274,1,0.16,0.1364,0.55,0.3284
275,1,0.16,0.1212,0.55,0.4478
276,1,0.14,0.1061,0.59,0.4179
277,1,0.14,0.1212,0.59,0.2836
278,1,0.14,0.1212,0.5,0.2836
279,1,0.14,0.1212,0.5,0.3582
280,1,0.14,0.1212,0.5,0.3284
281,1,0.14,0.1212,0.5,0.2537
282,1,0.14,0.1212,0.5,0.2985
283,1,0.12,0.1515,0.54,0.1343
284,1,0.12,0.1515,0.54,0.1343
285,1,0.14,0.1364,0.5,0.194
286,1,0.14,0.1212,0.5,0.3284
287,2,0.16,0.1364,0.5,0.3582
288,2,0.2,0.1667,0.44,0.4478
289,1,0.2,0.1667,0.44,0.4179
290,1,0.22,0.197,0.41,0.4478
291,1,0.22,0.197,0.41,0.3881
292,1,0.24,0.2121,0.38,0.2985
293,1,0.24,0.2121,0.38,0.3582
294,1,0.2,0.1818,0.4,0.2836
295,1,0.2,0.1818,0.4,0.3284
296,1,0.16,0.1515,0.47,0.2537
297,1,0.16,0.1515,0.47,0.2239
298,1,0.14,0.1212,0.46,0.2985
299,1,0.14,0.1212,0.46,0.3284
300,1,0.12,0.1364,0.5,0.194
301,1,0.12,0.1364,0.5,0.194
302,1,0.1,0.1212,0.54,0.1642
303,1,0.1,0.1212,0.54,0.1343
304,1,0.1,0.1364,0.54,0.1045
305,1,0.1,0.1364,0.54,0.0896
306,1,0.1,0.1818,0.54,0.0
307,1,0.1,0.1212,0.74,0.1642
308,1,0.12,0.1667,0.68,0.0
309,1,0.14,0.1515,0.69,0.1343
310,1,0.18,0.1818,0.55,0.194
311,1,0.18,0.1667,0.51,0.2836
312,1,0.2,0.197,0.44,0.2537
313,1,0.22,0.197,0.37,0.3881
314,1,0.22,0.2121,0.41,0.2836
315,1,0.24,0.2424,0.38,0.1642
316,1,0.22,0.2424,0.41,0.1045
317,1,0.22,0.2273,0.41,0.1642
318,1,0.2,0.2576,0.47,0.0
319,1,0.16,0.197,0.59,0.0896
320,1,0.18,0.2424,0.59,0.0
321,1,0.16,0.2273,0.69,0.0
322,2,0.16,0.2273,0.69,0.0
323,2,0.18,0.2424,0.55,0.0
324,1,0.18,0.2424,0.55,0.0
325,2,0.16,0.197,0.59,0.0896
326,2,0.16,0.197,0.59,0.0896
327,2,0.16,0.2273,0.59,0.0
328,2,0.16,0.2273,0.59,0.0
329,1,0.16,0.2273,0.59,0.0
330,1,0.14,0.1667,0.63,0.1045
331,1,0.14,0.2121,0.63,0.0
332,1,0.14,0.1515,0.63,0.1343
333,1,0.16,0.1818,0.64,0.1343
334,1,0.18,0.197,0.59,0.1642
335,1,0.2,0.197,0.55,0.2239
336,1,0.24,0.2273,0.48,0.2239
337,1,0.28,0.2576,0.38,0.2985
338,1,0.3,0.2879,0.39,0.2836
339,2,0.32,0.3182,0.36,0.194
340,2,0.34,0.3333,0.34,0.194
341,2,0.32,0.303,0.36,0.2836
342,2,0.3,0.2879,0.45,0.2537
343,2,0.32,0.303,0.39,0.2537
344,2,0.32,0.303,0.39,0.2537
345,2,0.32,0.303,0.39,0.2239
346,2,0.3,0.3182,0.42,0.1045
347,1,0.3,0.2879,0.45,0.2836
348,1,0.26,0.303,0.56,0.0
349,1,0.26,0.2727,0.56,0.1343
350,1,0.26,0.2879,0.56,0.0896
351,1,0.22,0.2727,0.69,0.0
352,1,0.26,0.2576,0.56,0.1642
353,2,0.26,0.2576,0.56,0.1642
354,2,0.26,0.2576,0.56,0.1642
355,2,0.24,0.2121,0.56,0.2985
356,1,0.22,0.2121,0.55,0.2836
357,1,0.22,0.2121,0.51,0.2537
358,1,0.22,0.2121,0.51,0.2836
359,1,0.24,0.2273,0.44,0.2537
360,1,0.24,0.2121,0.41,0.2836
361,1,0.26,0.2273,0.35,0.2985
362,1,0.28,0.2727,0.36,0.2537
363,1,0.26,0.2424,0.38,0.2537
364,1,0.24,0.2273,0.38,0.2239
365,1,0.22,0.2121,0.37,0.2537
366,1,0.2,0.2121,0.4,0.1642
367,1,0.18,0.197,0.47,0.1343
368,1,0.18,0.197,0.47,0.1642
369,1,0.18,0.197,0.51,0.1642
370,2,0.2,0.2121,0.49,0.1343
371,2,0.2,0.2273,0.4,0.1045
372,2,0.2,0.197,0.47,0.2239
373,2,0.2,0.197,0.44,0.194
374,2,0.18,0.1667,0.43,0.2537
375,2,0.18,0.1818,0.43,0.194
376,2,0.18,0.197,0.43,0.1343
377,2,0.18,0.197,0.43,0.1642
378,2,0.18,0.1818,0.43,0.194
379,2,0.16,0.1818,0.5,0.1343
380,2,0.16,0.1515,0.47,0.2239
381,2,0.16,0.1515,0.47,0.2239
382,2,0.16,0.1515,0.5,0.2537
383,2,0.16,0.1515,0.55,0.194
384,2,0.18,0.197,0.47,0.1343
385,2,0.18,0.197,0.47,0.1343
386,2,0.18,0.2121,0.43,0.1045
387,2,0.2,0.2121,0.47,0.1642
388,2,0.2,0.2121,0.47,0.1642
389,1,0.2,0.197,0.51,0.194
390,2,0.18,0.1667,0.55,0.2537
391,3,0.18,0.1818,0.59,0.194
392,3,0.16,0.1515,0.8,0.194
393,3,0.16,0.1515,0.8,0.194
394,3,0.14,0.1212,0.93,0.2537
395,3,0.16,0.1364,0.86,0.2836
396,2,0.2,0.1818,0.86,0.3284
397,2,0.2,0.197,0.86,0.2239
398,2,0.22,0.2273,0.8,0.1642
399,2,0.22,0.2273,0.87,0.1642
400,2,0.22,0.2273,0.87,0.194
401,2,0.22,0.2273,0.82,0.194
402,2,0.22,0.2273,0.8,0.1642
403,2,0.22,0.2273,0.8,0.1343
404,2,0.22,0.2727,0.87,0.0
405,2,0.22,0.2424,0.93,0.1045
406,2,0.22,0.2576,0.93,0.0896
407,2,0.22,0.2727,0.93,0.0
408,2,0.22,0.2727,0.93,0.0
409,3,0.22,0.2273,0.93,0.1343
410,3,0.22,0.2273,0.93,0.1343
411,3,0.22,0.2273,0.93,0.1343
412,2,0.22,0.2576,0.93,0.0896
413,2,0.22,0.2576,0.93,0.0896
414,2,0.24,0.2576,0.92,0.1045
415,2,0.24,0.2576,0.93,0.1045
416,2,0.24,0.2576,0.93,0.1045
417,2,0.26,0.2727,0.93,0.1343
418,2,0.28,0.303,0.87,0.0896
419,2,0.3,0.3182,0.81,0.0896
420,1,0.4,0.4091,0.62,0.2836
421,1,0.4,0.4091,0.58,0.2537
422,1,0.4,0.4091,0.54,0.2836
423,1,0.38,0.3939,0.58,0.3881
424,1,0.36,0.3333,0.57,0.3284
425,1,0.34,0.3182,0.61,0.2836
426,1,0.32,0.2879,0.57,0.4179
427,1,0.32,0.303,0.49,0.2985
428,1,0.32,0.2879,0.49,0.4179
429,1,0.3,0.303,0.52,0.1642
430,1,0.3,0.2727,0.52,0.4627
431,1,0.26,0.2273,0.56,0.3881
432,1,0.26,0.2727,0.56,0.0
433,1,0.26,0.2727,0.56,0.0
434,1,0.26,0.2576,0.56,0.1642
435,1,0.26,0.2576,0.56,0.1642
436,1,0.24,0.2273,0.6,0.2239
437,1,0.22,0.2121,0.6,0.2239
438,1,0.22,0.2121,0.55,0.2239
439,1,0.22,0.2121,0.55,0.2836
440,2,0.24,0.2273,0.52,0.2239
441,1,0.26,0.2273,0.48,0.2985
442,2,0.28,0.2727,0.45,0.1642
443,2,0.3,0.3333,0.42,0.0
444,2,0.28,0.2879,0.45,0.1045
445,2,0.3,0.303,0.45,0.1343
446,2,0.32,0.3182,0.45,0.194
447,2,0.3,0.303,0.49,0.1343
448,2,0.3,0.3182,0.49,0.1045
449,2,0.26,0.2576,0.56,0.194
450,1,0.26,0.2273,0.56,0.3284
451,2,0.26,0.2424,0.6,0.2836
452,2,0.24,0.2273,0.6,0.2537
453,2,0.24,0.2121,0.65,0.2836
454,2,0.24,0.2121,0.65,0.3284
455,2,0.24,0.2273,0.7,0.2537
456,2,0.24,0.2273,0.7,0.2537
457,3,0.24,0.2424,0.75,0.1642
458,3,0.22,0.2121,0.8,0.2985
459,2,0.22,0.2576,0.87,0.0896
460,1,0.24,0.197,0.6,0.4179
461,1,0.22,0.2121,0.55,0.2537
462,1,0.2,0.1818,0.51,0.2836
463,1,0.2,0.1818,0.47,0.3284
464,1,0.2,0.1818,0.51,0.3582
465,1,0.2,0.1667,0.47,0.4627
466,1,0.22,0.1818,0.41,0.4627
467,1,0.22,0.1818,0.27,0.5821
468,1,0.2,0.1515,0.21,0.5821
469,1,0.2,0.1515,0.25,0.5224
470,1,0.16,0.1212,0.26,0.4478
471,1,0.16,0.1364,0.26,0.3582
472,1,0.14,0.1212,0.28,0.3582
473,1,0.12,0.1212,0.3,0.2537
474,1,0.12,0.1061,0.3,0.3284
475,1,0.1,0.0758,0.33,0.4179
476,1,0.08,0.0758,0.38,0.2836
477,1,0.06,0.0303,0.41,0.3881
478,1,0.06,0.0455,0.38,0.3284
479,1,0.04,0.0303,0.45,0.2537
480,2,0.04,0.0,0.41,0.3881
481,2,0.04,0.0303,0.41,0.2537
482,2,0.04,0.0303,0.41,0.2836
483,2,0.02,0.0152,0.48,0.2985
484,2,0.02,0.0303,0.44,0.2239
485,1,0.02,0.0152,0.44,0.2836
486,1,0.02,0.0,0.44,0.3284
487,1,0.04,0.0303,0.41,0.2537
488,2,0.04,0.0606,0.41,0.1642
489,2,0.06,0.0758,0.38,0.1343
490,2,0.06,0.1061,0.38,0.1045
491,1,0.08,0.1667,0.35,0.0
492,1,0.1,0.1364,0.33,0.1045
493,1,0.12,0.1515,0.28,0.0
494,1,0.12,0.1364,0.28,0.194
495,1,0.12,0.197,0.28,0.0
496,1,0.08,0.0909,0.35,0.194
497,1,0.08,0.1061,0.35,0.1343
498,1,0.06,0.0758,0.45,0.1642
499,1,0.06,0.1061,0.41,0.0896
500,1,0.06,0.1515,0.49,0.0
501,1,0.04,0.0758,0.57,0.1045
502,1,0.04,0.0758,0.57,0.1045
503,1,0.04,0.0758,0.57,0.1045
504,1,0.02,0.0606,0.62,0.1343
505,1,0.02,0.0606,0.62,0.1343
506,2,0.04,0.0758,0.57,0.1045
507,2,0.04,0.0758,0.57,0.1045
508,1,0.08,0.1061,0.58,0.1642
509,1,0.06,0.0758,0.62,0.1642
510,1,0.1,0.0758,0.54,0.3582
511,1,0.14,0.1061,0.46,0.3881
512,1,0.14,0.1364,0.43,0.2239
513,1,0.16,0.1212,0.37,0.4627
514,1,0.14,0.1061,0.33,0.3881
515,1,0.16,0.1364,0.28,0.3582
516,1,0.16,0.1364,0.28,0.3582
517,1,0.16,0.1364,0.26,0.3284
518,1,0.14,0.1061,0.26,0.3881
519,1,0.12,0.1212,0.3,0.2537
520,1,0.12,0.1212,0.3,0.2836
521,1,0.1,0.1061,0.36,0.2537
522,1,0.1,0.1061,0.36,0.194
523,1,0.08,0.0909,0.38,0.194
524,1,0.06,0.0606,0.41,0.2239
525,1,0.06,0.0606,0.41,0.194
526,1,0.04,0.0455,0.45,0.194
527,1,0.04,0.0303,0.45,0.2537
528,1,0.02,0.0606,0.48,0.1343
529,1,0.02,0.0606,0.48,0.1343
530,1,0.02,0.0758,0.48,0.0896
531,1,0.02,0.1212,0.48,0.0
532,1,0.04,0.1364,0.49,0.0
533,1,0.06,0.1515,0.41,0.0
534,1,0.1,0.1364,0.42,0.0
535,1,0.1,0.1212,0.46,0.1343
536,2,0.12,0.1364,0.42,0.194
537,2,0.14,0.1364,0.43,0.2239
538,2,0.14,0.1364,0.46,0.2239
539,1,0.16,0.1667,0.4,0.1642
540,1,0.16,0.1515,0.47,0.2537
541,1,0.14,0.1212,0.5,0.2537
542,1,0.14,0.1364,0.59,0.194
543,1,0.14,0.1515,0.54,0.1642
544,1,0.14,0.1364,0.59,0.194
545,1,0.14,0.1515,0.63,0.1642
546,2,0.14,0.1364,0.63,0.2239
547,2,0.16,0.1515,0.64,0.2537
548,2,0.16,0.1364,0.69,0.2836
549,2,0.16,0.1667,0.69,0.1642
550,1,0.16,0.1515,0.69,0.2239
551,1,0.14,0.1667,0.74,0.1045
552,1,0.14,0.1364,0.74,0.2239
553,1,0.16,0.1818,0.74,0.1045
554,1,0.16,0.1515,0.74,0.2239
555,2,0.16,0.1818,0.74,0.1343
556,2,0.2,0.2273,0.64,0.0896
557,2,0.22,0.2424,0.6,0.1045
558,2,0.24,0.2424,0.6,0.1343
559,2,0.26,0.2879,0.56,0.0896
560,2,0.26,0.2727,0.56,0.1343
561,2,0.3,0.3333,0.45,0.0
562,2,0.32,0.3485,0.42,0.0
563,2,0.32,0.3485,0.42,0.0
564,1,0.3,0.3333,0.45,0.0
565,2,0.3,0.3182,0.49,0.0896
566,2,0.26,0.2576,0.65,0.1642
567,1,0.24,0.2273,0.65,0.194
568,1,0.24,0.2273,0.65,0.194
569,1,0.22,0.2273,0.64,0.1642
570,2,0.22,0.2273,0.64,0.1642
571,2,0.22,0.2273,0.69,0.1343
572,2,0.24,0.2424,0.65,0.1343
573,3,0.22,0.2273,0.69,0.194
574,3,0.2,0.1818,0.86,0.2836
575,3,0.2,0.1818,0.86,0.2836
576,3,0.22,0.2121,0.87,0.2985
577,3,0.22,0.2121,0.87,0.2985
578,3,0.22,0.2121,0.87,0.2985
579,3,0.22,0.2121,0.93,0.2836
580,3,0.22,0.197,0.93,0.3284
581,3,0.22,0.197,0.93,0.3284
582,3,0.22,0.197,0.93,0.3284
583,3,0.22,0.197,0.93,0.3582
584,3,0.22,0.1818,0.93,0.4627
585,4,0.22,0.197,0.93,0.3284
586,3,0.2,0.1818,0.93,0.3582
587,1,0.22,0.2273,0.55,0.194
588,1,0.22,0.2424,0.55,0.1045
589,1,0.2,0.2273,0.69,0.0896
590,1,0.2,0.2273,0.69,0.0896
591,1,0.18,0.2121,0.74,0.0896
592,1,0.18,0.2121,0.74,0.0896
593,1,0.18,0.2121,0.74,0.0896
594,1,0.18,0.197,0.8,0.1642
595,2,0.2,0.2121,0.75,0.1343
596,2,0.2,0.2121,0.75,0.1343
597,2,0.2,0.2121,0.75,0.1642
598,2,0.2,0.2273,0.75,0.1045
599,2,0.18,0.2121,0.8,0.1045
600,2,0.18,0.197,0.8,0.1343
601,2,0.16,0.197,0.86,0.0896
602,2,0.16,0.197,0.86,0.0896
603,3,0.18,0.2121,0.86,0.0896
604,3,0.18,0.2121,0.86,0.1045
605,3,0.18,0.2121,0.93,0.1045
606,3,0.18,0.2121,0.93,0.1045
607,3,0.18,0.2121,0.93,0.1045
608,3,0.22,0.2727,0.8,0.0
609,2,0.2,0.2576,0.86,0.0
610,1,0.22,0.2727,0.8,0.0
611,1,0.24,0.2424,0.75,0.1343
612,1,0.24,0.2273,0.75,0.194
613,2,0.24,0.2424,0.75,0.1343
614,2,0.24,0.2273,0.7,0.194
615,2,0.22,0.2273,0.75,0.1343
616,1,0.24,0.2121,0.65,0.3582
617,1,0.24,0.2273,0.6,0.2239
618,1,0.22,0.197,0.64,0.3582
619,1,0.22,0.2273,0.64,0.194
620,1,0.22,0.2273,0.64,0.1642
621,1,0.2,0.2121,0.64,0.1343
622,1,0.16,0.1818,0.69,0.1045
623,1,0.16,0.1818,0.64,0.1343
624,1,0.16,0.1818,0.59,0.1045
625,1,0.18,0.197,0.55,0.1642
626,1,0.18,0.2121,0.59,0.0896
627,2,0.18,0.2121,0.64,0.1045
628,2,0.18,0.197,0.64,0.1343
629,2,0.2,0.197,0.59,0.194
630,2,0.22,0.2273,0.55,0.1642
631,2,0.22,0.2273,0.6,0.1343
632,1,0.22,0.2121,0.69,0.2537
633,1,0.24,0.2424,0.6,0.1642
634,1,0.24,0.2879,0.6,0.0
635,1,0.22,0.2273,0.69,0.1343
636,2,0.22,0.2121,0.69,0.2537
637,1,0.18,0.2121,0.74,0.0896
638,1,0.18,0.2121,0.74,0.0896
639,1,0.16,0.197,0.8,0.0896
640,1,0.16,0.197,0.8,0.0896
641,1,0.16,0.1818,0.8,0.1045
642,1,0.14,0.2121,0.8,0.0
643,1,0.16,0.2273,0.8,0.0
